,Performance Score,Trend Consistency Score,Total Score
REEDR (TRY),14.225100805053518,1078.2495796842943,1092.4746804893477
FORTE (TRY),9.437000629907448,55.59174048784394,65.0287411177514
ARDYZ (TRY),23.79297477288848,36.64180461927619,60.43477939216467
SKYLP (TRY),11.711064599658439,40.47878853412138,52.18985313377982
MTRKS (TRY),13.896339228957828,37.202583569821975,51.0989227987798
LOGO (TRY),16.868742018620836,31.647102103902196,48.515844122523035
LINK (TRY),18.82360791986133,28.125871584283928,46.94947950414526
ATATP (TRY),13.913168376080433,31.159231537824834,45.072399913905265
PKART (TRY),8.236957769401162,36.74643024717466,44.983388016575816
KAREL (TRY),12.7712703584279,31.964028196707293,44.735298555135195
INTEK (TRY),14.473491871823459,28.144661593057194,42.61815346488065
MIATK (TRY),20.230209570900705,20.715030562138253,40.94524013303896
FONET (TRY),11.3778416748203,28.33840463648753,39.71624631130783
VBTYZ (TRY),8.249668071367898,29.053159549824812,37.30282762119271
EDATA (TRY),9.080078507981185,27.663372952901096,36.743451460882284
KFEIN (TRY),5.784884195168634,29.3433468568185,35.128231051987136
ODINE (TRY),7.820269561618819,22.120898385521706,29.941167947140524
ESCOM (TRY),5.587874402734861,24.078625872554134,29.666500275288996
SMART (TRY),3.583004848429253,25.33705002662154,28.920054875050795
OBASE (TRY),0.15062614327428436,28.382606554496803,28.533232697771087
HTTBT (TRY),-10.24450065943093,27.304291853387735,17.059791193956805
PATEK (TRY),-182.59103507303277,115.18133519121123,-67.40969988182154
