,0
gayrimenkul/TDGYO (TRY),5391.704351402713
holding/YESIL (TRY),1160.503365620353
bilisim-ve-yazilim/REEDR (TRY),1092.4746804893477
holding/COSMO (TRY),1029.813129035732
imalat/KAPLM (TRY),913.140587574173
gida-ve-icecek/VANGD (TRY),838.6479011956476
toptan-ve-perakende-ticaret/PSDTC (TRY),777.8985514470252
ulastirma/TAVHL (TRY),730.8112129675978
metal-esya-ve-makine/HKTM (TRY),679.9326372629758
imalat/YKSLN (TRY),394.024386845224
gida-ve-icecek/EKSUN (TRY),386.8738314863494
otomotiv-yan-sanayi/YIGIT (TRY),350.75722087163535
servis-tasimaciligi-ve-arac-kiralama/BORLS (TRY),347.93603882814085
gida-ve-icecek/SELVA (TRY),341.2259266254671
metal-esya-ve-makine/PRKAB (TRY),328.57390876558196
tekstil-giyim-ve-deri/DERIM (TRY),323.3764232182502
toptan-ve-perakende-ticaret/INTEM (TRY),302.92576217831595
gida-ve-icecek/DARDL (TRY),302.8716785763285
enerji-uretim-ve-dagitim/YAYLA (TRY),292.16395559360706
gayrimenkul/KGYO (TRY),284.4133094584418
tekstil-giyim-ve-deri/DIRIT (TRY),270.92938853208943
gayrimenkul/BEGYO (TRY),265.59899954737534
insaat/ANELE (TRY),238.82075530927233
imalat/CELHA (TRY),210.92269002306304
enerji-uretim-ve-dagitim/ODAS (TRY),201.5569349639791
enerji-uretim-ve-dagitim/AKSEN (TRY),192.26565273049232
servis-tasimaciligi-ve-arac-kiralama/PLTUR (TRY),192.05737960784847
imalat/IHEVA (TRY),178.3842575149946
savunma/KATMR (TRY),176.34451218078675
holding/UMPAS (TRY),176.1409325906228
holding/IHLAS (TRY),173.4824713492553
imalat/BURCE (TRY),164.0834396706196
gayrimenkul/TSGYO (TRY),155.0413836613799
turizm/ZEDUR (TRY),151.69039137359218
gayrimenkul/TRGYO (TRY),147.27297517173963
tekstil-giyim-ve-deri/MNDRS (TRY),146.19440066261777
gida-ve-icecek/OBAMS (TRY),144.98957348943404
destek-ve-hizmet/SNKRN (TRY),129.40220108664636
enerji-uretim-ve-dagitim/AKSUE (TRY),129.2167688956975
holding/DENGE (TRY),126.0870901973853
menkul-kiymet-yatirim-ortakligi/EUYO (TRY),125.62649187487091
imalat/GIPTA (TRY),122.6830438144841
turizm/MEPET (TRY),121.31402704927048
tekstil-giyim-ve-deri/SONME (TRY),119.36335495887494
gayrimenkul/EDIP (TRY),116.93613413253865
holding/METRO (TRY),116.21869859545806
tekstil-giyim-ve-deri/DAGHL (TRY),114.17897508691117
mobilya-ve-dekorasyon/YONGA (TRY),113.13507352314845
kagit-ve-kagit-urunleri/SAMAT (TRY),112.92807771013278
toptan-ve-perakende-ticaret/ARENA (TRY),112.29459688272412
imalat/ARZUM (TRY),111.93691257473932
kimya-ve-plastik/SODSN (TRY),107.38316387136521
toptan-ve-perakende-ticaret/TKNSA (TRY),107.27623882576289
mobilya-ve-dekorasyon/SUMAS (TRY),101.0864274882846
menkul-kiymet-yatirim-ortakligi/EUKYO (TRY),100.75212364739296
insaat/YYAPI (TRY),100.11782677108296
gayrimenkul/KLGYO (TRY),97.80184652715718
menkul-kiymet-yatirim-ortakligi/ETYAT (TRY),96.79362620732907
menkul-kiymet-yatirim-ortakligi/VKFYO (TRY),96.28644167173118
toptan-ve-perakende-ticaret/DCTTR (TRY),94.47573129311455
girisim-sermayesi-yatirim-ortakligi/GOZDE (TRY),92.16512784875889
haberlesme/IHAAS (TRY),91.85687107838405
kagit-ve-kagit-urunleri/KONKA (TRY),91.23858737512155
imalat/GEDZA (TRY),90.07724703110446
tekstil-giyim-ve-deri/BAYRK (TRY),89.2512591127503
insaat/ENKAI (TRY),88.51564719599457
menkul-kiymet-yatirim-ortakligi/GRNYO (TRY),87.4191481302516
enerji-uretim-ve-dagitim/AYDEM (TRY),83.75535916411214
madencilik-ve-tas-ocakciligi/ALMAD (TRY),83.51676007694013
tekstil-giyim-ve-deri/SUNTK (TRY),82.86313095603705
holding/BRYAT (TRY),81.95079237548491
ilac-ve-saglik/ECILC (TRY),81.49153870714825
turizm/MARTI (TRY),80.65456356257658
imalat/DOGUB (TRY),80.55546401242484
imalat/ISDMR (TRY),79.55876797879827
gayrimenkul/ASGYO (TRY),79.45880743286557
metal-esya-ve-makine/FORMT (TRY),79.29399133371555
toptan-ve-perakende-ticaret/BIZIM (TRY),77.78625013479885
insaat/BRLSM (TRY),77.33764702678268
holding/UNLU (TRY),77.03376939347292
imalat/CUSAN (TRY),76.58229246774422
turizm/TEKTU (TRY),76.4663271383294
holding/NTHOL (TRY),75.60915349535576
holding/ALARK (TRY),75.1336946552691
imalat/EMKEL (TRY),74.61562652349023
gida-ve-icecek/AVOD (TRY),74.22301080018485
toptan-ve-perakende-ticaret/DGATE (TRY),74.00603137209438
madencilik-ve-tas-ocakciligi/KOZAA (TRY),73.66079654061451
holding/HEDEF (TRY),73.5326797196769
ulastirma/GSDDE (TRY),72.29731030351705
enerji-uretim-ve-dagitim/MOGAN (TRY),71.98641073289022
holding/VERUS (TRY),70.9281542680836
holding/MARKA (TRY),70.18716041657532
gayrimenkul/PEHOL (TRY),69.6813846986182
imalat/KARSN (TRY),68.84493084123582
tas-toprak-cimento/NIBAS (TRY),67.93030489899303
insaat/SANEL (TRY),67.63568352093576
madencilik-ve-tas-ocakciligi/IPEKE (TRY),66.80530370910594
gida-ve-icecek/FADE (TRY),66.69627156584053
enerji-uretim-ve-dagitim/ESEN (TRY),66.66148109955273
gida-ve-icecek/ERSU (TRY),66.32953249383078
metal-esya-ve-makine/VESTL (TRY),65.90855479458835
kagit-ve-kagit-urunleri/IHGZT (TRY),65.79779003342071
kagit-ve-kagit-urunleri/DOBUR (TRY),65.1351400738747
tekstil-giyim-ve-deri/BRKO (TRY),65.1259218173785
bilisim-ve-yazilim/FORTE (TRY),65.0287411177514
ambalaj/EMNIS (TRY),64.09361482618311
gayrimenkul/IDGYO (TRY),63.87626840479057
tas-toprak-cimento/NUHCM (TRY),63.595443892311785
gida-ve-icecek/SELGD (TRY),62.28454902667835
toptan-ve-perakende-ticaret/DOAS (TRY),61.781647038491315
tekstil-giyim-ve-deri/ENSRI (TRY),61.414687849288704
destek-ve-hizmet/AKYHO (TRY),61.247578193156635
gayrimenkul/NUGYO (TRY),61.00528834593935
holding/BINHO (TRY),60.892084040581274
bilisim-ve-yazilim/ARDYZ (TRY),60.43477939216467
imalat/ADEL (TRY),60.08567505121782
cam-seramik-porselen/BIENY (TRY),60.072177044375415
ana-metal/KOCMT (TRY),60.06245817879278
girisim-sermayesi-yatirim-ortakligi/PRDGS (TRY),59.988211490368066
kimya-ve-plastik/HEKTS (TRY),59.967416860182155
gida-ve-icecek/TABGD (TRY),59.66309681202608
enerji-uretim-ve-dagitim/CATES (TRY),59.34778008094244
servis-tasimaciligi-ve-arac-kiralama/BEYAZ (TRY),59.34388433993105
haberlesme/NETAS (TRY),58.897944521194596
holding/KLRHO (TRY),57.94204327595768
tekstil-giyim-ve-deri/ROYAL (TRY),57.743757553012486
gida-ve-icecek/PINSU (TRY),57.50069946859497
imalat/EREGL (TRY),57.44071920520247
imalat/EREGL (TRY) (1),57.44071920520247
spor/FENER (TRY),56.74841563107745
holding/UFUK (TRY),56.74335443910532
toptan-ve-perakende-ticaret/CRFSA (TRY),56.41394385275862
cam-seramik-porselen/QUAGR (TRY),56.1135021247457
holding/IZINV (TRY),55.68092594240021
gayrimenkul/VKGYO (TRY),55.4254228635052
otomotiv-yan-sanayi/BRISA (TRY),55.365881376834594
toptan-ve-perakende-ticaret/PENTA (TRY),54.67783993693335
spor/GSRAY (TRY),54.1734552910623
destek-ve-hizmet/MACKO (TRY),54.12531384950475
imalat/ERBOS (TRY),53.41282190214849
gayrimenkul/ADGYO (TRY),52.98861257217938
enerji-uretim-ve-dagitim/AKFYE (TRY),52.48303046331602
bilisim-ve-yazilim/SKYLP (TRY),52.18985313377982
toptan-ve-perakende-ticaret/EBEBK (TRY),51.966459936762334
imalat/DMSAS (TRY),51.91580970052674
destek-ve-hizmet/PCILT (TRY),51.83951843930623
imalat/IZMDC (TRY),51.74549007809677
holding/RALYH (TRY),51.56712721742184
gayrimenkul/AVPGY (TRY),51.56374267217274
imalat/BURVA (TRY),51.54508748092251
holding/EUHOL (TRY),51.45811711424102
