,Performance Score,Trend Consistency Score,Total Score
ALFAS (TRY),9.627844778474769,36.74812741748027,46.375972195955036
ASTOR (TRY),15.942657328725847,27.204699201295014,43.14735653002086
YEOTK (TRY),2.237431079537543,32.49656244001023,34.733993519547774
EKOS (TRY),-1.7888052191394452,30.12593752414746,28.337132305008016
KLYPV (TRY),0.9864232062489118,26.54893836952818,27.53536157577709
SMRTG (TRY),-1.1726799068538591,27.741711785623885,26.569031878770026
EUPWR (TRY),-2.994666523540615,27.141345320834308,24.146678797293692
KONTR (TRY),-9.70476866561341,32.33621283254126,22.63144416692785
CWENE (TRY),-7.668793001305782,29.11421541980308,21.445422418497298
SAYAS (TRY),-30.017565510303825,47.709248804795614,17.69168329449179
