,Performance Score,Trend Consistency Score,Total Score
YAYLA (TRY),6.07671472052584,286.0872408730812,292.16395559360706
ODAS (TRY),-1.6720004910067243,203.22893545498582,201.5569349639791
AKSEN (TRY),7.415161427207144,184.85049130328517,192.26565273049232
AKSUE (TRY),8.471055070568253,120.74571382512926,129.2167688956975
AYDEM (TRY),7.626441791543874,76.12891737256827,83.75535916411214
MOGAN (TRY),3.466361707456096,68.52004902543412,71.98641073289022
ESEN (TRY),8.084193956601329,58.5772871429514,66.66148109955273
CATES (TRY),-2.850442680132698,62.198222761075144,59.34778008094244
AKFYE (TRY),10.315680741078166,42.16734972223785,52.48303046331602
AHGAZ (TRY),8.658084583437542,42.274013483608734,50.932098067046276
ENDAE (TRY),3.3682136601856016,41.63485851393077,45.003072174116376
AKENR (TRY),-7.226696116103756,50.02087426975996,42.794178153656205
ENERY (TRY),12.356471016388223,30.28199748317661,42.63846849956484
GWIND (TRY),15.478697590810572,25.971024374986275,41.44972196579685
ENTRA (TRY),11.976813523375615,27.279507472825404,39.25632099620102
MAGEN (TRY),11.5959774606875,24.91559299216373,36.51157045285123
BIGEN (TRY),13.850616058767057,21.693343175139187,35.54395923390624
TATEN (TRY),10.658688510269965,23.34618628861679,34.00487479888675
BASGZ (TRY),9.194839164026613,23.84078465910666,33.03562382313327
ENJSA (TRY),9.033009400310213,23.065551247198584,32.0985606475088
ARASE (TRY),-2.2243068618490867,33.55027748164676,31.325970619797673
NATEN (TRY),5.9043370751544595,23.32807428423731,29.23241135939177
CANTE (TRY),3.8400369657324234,24.47783059353496,28.317867559267384
ZOREN (TRY),-9.242418512065957,34.508776073006615,25.26635756094066
PRKME (TRY),13.147794496422925,10.68416111223014,23.831955608653065
IZENR (TRY),3.293503406030122,18.5165690008621,21.81007240689222
AYEN (TRY),2.447238621973995,14.949206411451538,17.396445033425533
BIOEN (TRY),-11.42181620187666,27.905104316980005,16.483288115103345
CONSE (TRY),-15.410877707598111,27.820209891976987,12.409332184378876
NTGAZ (TRY),-18.224553846035498,26.33507139861234,8.110517552576841
MANAS (TRY),-38.85839390045335,43.05105183013511,4.192657929681758
KARYE (TRY),-56.86290682157525,58.40867830007267,1.5457714784974215
LYDYE (TRY),-186.60273782914493,81.00618595465951,-105.59655187448541
HUNER (TRY),-175.62535344665136,43.54742485353303,-132.07792859311832
