,Performance Score,Trend Consistency Score,Total Score
TDGYO (TRY),-27.326121460978023,5419.030472863691,5391.704351402713
KGYO (TRY),-9.8264299862884,294.2397394447302,284.4133094584418
BEGYO (TRY),11.119203804143945,254.4797957432314,265.59899954737534
TSGYO (TRY),-9.82110004762306,164.86248370900296,155.0413836613799
TRGYO (TRY),7.221075664675001,140.05189950706463,147.27297517173963
EDIP (TRY),8.54425260850213,108.39188152403652,116.93613413253865
KLGYO (TRY),-28.670286100786974,126.47213262794416,97.80184652715718
ASGYO (TRY),1.5883110392697581,77.87049639359581,79.45880743286557
PEHOL (TRY),-57.854260948419565,127.53564564703777,69.6813846986182
IDGYO (TRY),7.573389381835952,56.30287902295462,63.87626840479057
NUGYO (TRY),-10.286979209201391,71.29226755514074,61.00528834593935
VKGYO (TRY),-56.92514765508769,112.35057051859289,55.4254228635052
ADGYO (TRY),21.355824645717846,31.632787926461532,52.98861257217938
AVPGY (TRY),25.07670420100283,26.48703847116991,51.56374267217274
AKFGY (TRY),7.458600217693439,42.00932945649596,49.4679296741894
PAGYO (TRY),17.36101783772557,28.608270094367754,45.96928793209332
DAPGM (TRY),12.81217955255292,32.34655219583712,45.15873174839004
ISGYO (TRY),0.9254320425660056,41.79042499254375,42.71585703510976
OZKGY (TRY),10.265539455702656,31.697453362131064,41.96299281783372
DGGYO (TRY),-36.86464804326945,77.8941312534003,41.029483210130856
EKGYO (TRY),4.932354469036644,32.13827813426843,37.07063260330508
AHSGY (TRY),3.407892186650094,33.222671831594845,36.63056401824494
RGYAS (TRY),15.150553371597333,20.243250738932378,35.393804110529715
AVGYO (TRY),-3.368813687663504,34.249215564510635,30.88040187684713
VRGYO (TRY),13.509350187123266,16.300253867752396,29.809604054875663
DZGYO (TRY),-12.709793994653438,42.15591551323047,29.44612151857703
KZGYO (TRY),3.5426607491897535,25.657764162330338,29.20042491152009
YGGYO (TRY),17.744196584933995,11.0228270865408,28.767023671474796
MHRGY (TRY),-1.9963782024574868,27.42706224553761,25.430684043080124
EYGYO (TRY),-6.628898510087097,30.989537516492305,24.360639006405208
KZBGY (TRY),18.606229689904573,4.972761021841349,23.578990711745924
AKMGY (TRY),15.786927975874741,6.386368664636118,22.17329664051086
PSGYO (TRY),-14.009098059255212,34.93626759924796,20.92716953999275
KUYAS (TRY),-39.0161368836346,57.7749794939186,18.758842610284
ALGYO (TRY),12.388603002112635,6.054440289944574,18.443043292057208
KRGYO (TRY),-18.408002620627897,35.10987338735745,16.701870766729556
SURGY (TRY),14.99320567148536,0.960391382982811,15.95359705446817
AKSGY (TRY),-0.36692365239945013,13.090335089479217,12.723411437079767
MSGYO (TRY),10.173179558906416,1.687716921403772,11.860896480310188
HLGYO (TRY),0.5846742792201174,10.49084552865967,11.075519807879786
RYGYO (TRY),-25.4062534114493,34.262354727607786,8.856101316158487
MRGYO (TRY),-57.49594635845218,63.18083763311135,5.684891274659172
SNGYO (TRY),-8.898547580780885,10.902975661263968,2.0044280804830823
ATAGY (TRY),0.0,1.0073789579008823,1.0073789579008823
EGEGY (TRY),-76.4276355453804,72.04009756347877,-4.38753798190163
ADESE (TRY),-22.24239461077024,17.737390493180715,-4.505004117589525
SEGYO (TRY),-22.553464344742796,17.073329291114273,-5.480135053628523
ZRGYO (TRY),-36.7593033116292,25.362502765048987,-11.396800546580216
YGYO (TRY),-99.73569215491344,43.89424302733837,-55.84144912757507
OZGYO (TRY),-140.3851861344019,66.7737274745962,-73.61145865980569
SRVGY (TRY),-172.07780418712377,38.89554830003333,-133.18225588709043
AGYO (TRY),-307.673785812596,23.914868238359578,-283.7589175742364
PEKGY (TRY),-908.4428334385678,54.98562016676498,-853.4572132718029
FZLGY (TRY),-1080.4092113240179,32.507872098621625,-1047.9013392253962
