,Performance Score,Trend Consistency Score,Total Score
VANGD (TRY),-103.32569100421999,941.9735921998675,838.6479011956476
EKSUN (TRY),-7.827914298795845,394.70174578514525,386.8738314863494
SELVA (TRY),-0.6463102941401605,341.87223691960725,341.2259266254671
DARDL (TRY),-1.3180976826299284,304.18977625895843,302.8716785763285
OBAMS (TRY),0.9403392483431245,144.04923424109091,144.98957348943404
AVOD (TRY),1.2354965348748526,72.98751426531,74.22301080018485
FADE (TRY),13.39164889960683,53.3046226662337,66.69627156584053
ERSU (TRY),-11.850259454036596,78.17979194786737,66.32953249383078
SELGD (TRY),4.418846804725379,57.86570222195297,62.28454902667835
TABGD (TRY),14.505125971807768,45.15797084021831,59.66309681202608
PINSU (TRY),-3.9450550000116804,61.44575446860665,57.50069946859497
TATGD (TRY),-8.26917895233453,58.5352764764835,50.266097524148975
KRSTL (TRY),-6.189743150562652,54.61640698047472,48.42666382991207
PENGD (TRY),-4.635934091919207,53.05019848117915,48.41426438925994
GRTHO (TRY),17.729166485668443,27.067670830700393,44.79683731636884
ELITE (TRY),14.109726895608643,29.92219532904411,44.03192222465275
KRVGD (TRY),-1.2770260356753729,41.05984641911677,39.7828203834414
MERKO (TRY),-12.606073089455279,51.27559135804499,38.66951826858971
YYLGD (TRY),7.513650846187336,31.128232083090957,38.641882929278296
BORSK (TRY),14.392341565857159,23.99686712604442,38.38920869190158
KNFRT (TRY),7.353875268488154,30.68766811178449,38.04154338027264
KTSKR (TRY),10.0,27.577692229633715,37.57769222963371
BALSU (TRY),13.277843197104893,23.537607254043266,36.81545045114816
TUKAS (TRY),8.012112515340842,28.632797624522794,36.64491013986364
TBORG (TRY),12.25366018085703,24.25973539157336,36.51339557243039
MOPAS (TRY),1.2274051893080475,35.138884049685004,36.36628923899305
BIGCH (TRY),3.9671786820937713,28.194315513089524,32.161494195183295
BANVT (TRY),6.220478351161676,25.57874286686607,31.799221218027746
SEGMN (TRY),4.774137373948449,26.303071763231134,31.077209137179583
KERVT (TRY),-26.21359238175302,56.99747794479032,30.7838855630373
ARMGD (TRY),4.468715742119094,26.207616400650068,30.676332142769162
ATAKP (TRY),6.669708821148053,22.95684100054131,29.626549821689363
FRIGO (TRY),-3.0349655706082572,31.322766264614977,28.28780069400672
ULUUN (TRY),-3.778510549290827,31.036699544283216,27.258188994992388
CCOLA (TRY),7.524517175769181,18.448824275423867,25.973341451193047
AEFES (TRY),7.607810162521169,17.517947672439306,25.125757834960474
KENT (TRY),1.0898189714925977,23.77015398368099,24.85997295517359
OFSYM (TRY),-1.545590618330388,26.397436377361103,24.851845759030716
GUNDG (TRY),2.8909980851357666,19.599666256528778,22.490664341664544
ULKER (TRY),8.148591013111997,13.64824938904884,21.796840402160836
SOKE (TRY),1.0249426220944282,19.576407984067163,20.601350606161592
ALKLC (TRY),-5.238802593136828,25.67111850082346,20.432315907686633
DURKN (TRY),-10.233474218602172,30.168663102363574,19.935188883761402
GOKNR (TRY),-13.364373218905452,33.25161846685616,19.887245247950705
DMRGD (TRY),-2.557680596952646,22.205852092642743,19.648171495690097
ORCAY (TRY),-0.008282659716547514,18.332418915370784,18.32413625565424
KUVVA (TRY),-20.530460492250562,36.59124821801079,16.06078772576023
KAYSE (TRY),-25.27028310887767,41.159451208376495,15.889168099498825
BYDNR (TRY),-1.7775208218197747,15.145875192874943,13.368354371055169
PETUN (TRY),-42.160481965518166,35.94912827585231,-6.211353689665856
PNSUT (TRY),-48.720864232601976,28.47005319636329,-20.250811036238687
AGROT (TRY),-227.40175269727084,35.65364742968903,-191.74810526758182
