,Performance Score,Trend Consistency Score,Total Score
YESIL (TRY),15.0,1145.503365620353,1160.503365620353
COSMO (TRY),15.089018794708398,1014.7241102410236,1029.813129035732
UMPAS (TRY),2.6131630590623045,173.5277695315605,176.1409325906228
IHLAS (TRY),7.914755964360525,165.56771538489477,173.4824713492553
DENGE (TRY),2.290321878631607,123.79676831875369,126.0870901973853
METRO (TRY),9.929469232185927,106.28922936327214,116.21869859545806
BRYAT (TRY),16.127614822081597,65.82317755340331,81.95079237548491
UNLU (TRY),13.581550455157561,63.45221893831536,77.03376939347292
NTHOL (TRY),11.488460531426288,64.12069296392947,75.60915349535576
ALARK (TRY),20.849342084484597,54.284352570784506,75.1336946552691
HEDEF (TRY),15.0,58.532679719676906,73.5326797196769
VERUS (TRY),-14.598453553907056,85.52660782199067,70.9281542680836
MARKA (TRY),22.52978594149139,47.65737447508394,70.18716041657532
BINHO (TRY),28.676954960989782,32.21512907959149,60.892084040581274
KLRHO (TRY),18.764896138670345,39.177147137287335,57.94204327595768
UFUK (TRY),12.882280460193964,43.86107397891135,56.74335443910532
IZINV (TRY),10.213858221253577,45.46706772114663,55.68092594240021
RALYH (TRY),10.9039105976237,40.66321661979814,51.56712721742184
EUHOL (TRY),6.446842266839834,45.01127484740118,51.45811711424102
ATSYH (TRY),9.026264231364845,41.28919783504514,50.31546206640998
INVES (TRY),31.224985726788532,18.22587430243677,49.4508600292253
GLYHO (TRY),9.62902632318985,39.316557856871654,48.9455841800615
BERA (TRY),-10.750529139674413,57.68195596303094,46.931426823356524
AVHOL (TRY),11.610861238916788,34.82322926462843,46.43409050354522
MMCAS (TRY),9.596179777394589,34.28628095425794,43.88246073165253
IHYAY (TRY),0.4573721635866468,42.70810962376896,43.16548178735561
INVEO (TRY),13.4115070543073,29.336976243848312,42.74848329815561
OYLUM (TRY),6.551890295105741,36.02011690020081,42.572007195306554
SAHOL (TRY),12.239385496379269,29.8648777472358,42.104263243615065
OTTO (TRY),7.516000909979843,33.91741309508781,41.433414005067654
OSTIM (TRY),6.616476320180907,32.20957546692556,38.826051787106465
IEYHO (TRY),2.673096515663411,33.341378903062655,36.014475418726065
MZHLD (TRY),4.966469682081914,29.09635747300109,34.062827155083
DOHOL (TRY),6.332544210653459,24.34162699367279,30.67417120432625
GSDHO (TRY),18.11968405848293,7.5916200746690725,25.711304133152005
GLRYH (TRY),-11.518359134637848,33.20395471194278,21.68559557730493
ECZYT (TRY),13.89887996017043,6.970819983759359,20.86969994392979
KCHOL (TRY),-29.061936827154042,33.46566435236489,4.403727525210847
LRSHO (TRY),-84.29383222844571,73.7986268344233,-10.495205394022406
ISBIR (TRY),-44.10358336196103,21.36108969599318,-22.74249366596785
AGHOL (TRY),-44.69479700030051,21.841947138433962,-22.85284986186655
KERVN (TRY),-151.1213946439382,57.15960910182654,-93.96178554211167
