,Performance Score,Trend Consistency Score,Total Score
ECILC (TRY),6.93394274600869,74.55759596113955,81.49153870714825
ANGEN (TRY),17.434047223291195,22.144542509592938,39.57858973288413
MEDTR (TRY),9.432760326709012,29.6320094708821,39.06476979759111
GENIL (TRY),7.058584524642135,28.05520604949783,35.11379057413996
ONCSM (TRY),-12.353300152542904,42.175382985807765,29.82208283326486
TNZTP (TRY),-5.530534179404071,31.52274525315454,25.992211073750468
TRILC (TRY),-3.3259434536914547,24.28563600411786,20.959692550426404
SELEC (TRY),7.757010565299696,11.877539681948065,19.63455024724776
MPARK (TRY),-0.5530947009576694,12.85480274377398,12.301708042816312
EGEPO (TRY),-14.134208775827181,23.338928722754858,9.204719946927677
DEVA (TRY),-32.150757651884945,31.593633215451558,-0.5571244364333872
RTALB (TRY),-66.13711375716919,29.718577654480654,-36.418536102688535
LKMNH (TRY),-66.00688367124276,23.440747646451847,-42.566136024790914
