,Performance Score,Trend Consistency Score,Total Score
KAPLM (TRY),9.798678166682599,903.3419094074903,913.140587574173
YKSLN (TRY),11.263529504935807,382.76085734028817,394.024386845224
CELHA (TRY),10.0,200.92269002306304,210.92269002306304
IHEVA (TRY),14.528179956784953,163.85607755820965,178.3842575149946
BURCE (TRY),11.786166591293114,152.2972730793265,164.0834396706196
GIPTA (TRY),14.461873766400386,108.2211700480837,122.6830438144841
ARZUM (TRY),12.758028410870889,99.17888416386843,111.93691257473932
GEDZA (TRY),21.96928376454054,68.10796326656393,90.07724703110446
DOGUB (TRY),14.060066655398039,66.49539735702679,80.55546401242484
ISDMR (TRY),20.617726165616673,58.9410418131816,79.55876797879827
CUSAN (TRY),7.269748150330211,69.31254431741401,76.58229246774422
EMKEL (TRY),11.957251257158855,62.658375266331376,74.61562652349023
KARSN (TRY),4.051184105856154,64.79374673537967,68.84493084123582
ADEL (TRY),15.838523002926646,44.24715204829118,60.08567505121782
EREGL (TRY),19.39213916274663,38.04858004245584,57.44071920520247
EREGL (TRY) (1),19.39213916274663,38.04858004245584,57.44071920520247
ERBOS (TRY),23.42227687329092,29.990545028857568,53.41282190214849
DMSAS (TRY),8.94812536078623,42.96768433974051,51.91580970052674
IZMDC (TRY),2.3991594181835256,49.34633065991325,51.74549007809677
BURVA (TRY),10.971048147307918,40.57403933361459,51.54508748092251
TCKRC (TRY),27.023696614051122,24.3339666337525,51.35766324780362
BNTAS (TRY),18.29776471574353,32.69784042457396,50.995605140317494
TOASO (TRY),21.3681087291199,28.931187731737715,50.29929646085762
ALCAR (TRY),15.398101278453545,33.39047937418947,48.78858065264301
BRSAN (TRY),12.491130246966655,34.20049078590386,46.691621032870515
KBORU (TRY),14.444230768769325,31.859023953934113,46.303254722703436
TUCLK (TRY),6.872137904249247,30.760451284900824,37.632589189150075
CEMTS (TRY),14.225331224020103,22.471588336063316,36.696919560083415
AYES (TRY),11.54267890732709,25.096514115951294,36.63919302327838
ALVES (TRY),15.261102419419219,20.352439276218746,35.61354169563796
POLTK (TRY),18.54028560970013,14.79806312309925,33.33834873279938
DOFER (TRY),10.07726253772016,22.39044992067297,32.46771245839313
BVSAN (TRY),10.205583129484516,21.8278271994551,32.03341032893962
KRDMA (TRY),13.182323507989604,16.955769438095285,30.13809294608489
KRDMB (TRY),13.182323507989604,16.955769438095285,30.13809294608489
KRDMD (TRY),13.182323507989604,16.955769438095285,30.13809294608489
MEKAG (TRY),8.699025536031215,20.873995108128398,29.573020644159612
KCAER (TRY),5.015421726865352,23.520506203196533,28.535927930061884
HATSN (TRY),-1.6984238154761542,27.438900153640752,25.740476338164598
ARCLK (TRY),4.336981911169431,20.90586885903469,25.24285077020412
OZATD (TRY),1.021533894775672,20.746920156244645,21.768454051020317
FROTO (TRY),-39.318552387227314,27.779296221889986,-11.539256165337328
SILVR (TRY),-178.4399939384287,88.16218142435784,-90.27781251407086
CEMAS (TRY),-285.4434723408787,95.38801426946716,-190.05545807141155
