,Performance Score,Trend Consistency Score,Total Score
ANELE (TRY),-6.880961071456303,245.70171638072864,238.82075530927233
YYAPI (TRY),10.612409232759163,89.5054175383238,100.11782677108296
ENKAI (TRY),17.30899092435378,71.2066562716408,88.51564719599457
BRLSM (TRY),6.853532882172664,70.48411414461002,77.33764702678268
SANEL (TRY),3.1824705089206073,64.45321301201515,67.63568352093576
ORGE (TRY),17.491953747627935,32.89818311082161,50.39013685844955
GESAN (TRY),-8.950573669357787,54.796748631539465,45.84617496218168
AKFIS (TRY),8.528114691284063,34.449936357204336,42.978051048488396
PAMEL (TRY),6.759697752759209,21.843896071144137,28.603593823903346
IHLGM (TRY),-17.81631504400611,45.19318470009114,27.376869656085027
BRKSN (TRY),-24.60338450251196,39.41432017730228,14.810935674790318
PNLSN (TRY),-23.58074431502461,27.20998048392659,3.629236168901979
TKFEN (TRY),-57.49731299602837,35.02030559692456,-22.47700739910381
GLRMK (TRY),-56.290712630784064,22.835740441962706,-33.45497218882136
YBTAS (TRY),-55.93495143275735,21.57622757665583,-34.35872385610152
TURGG (TRY),-63.89747157917622,22.854858488547432,-41.04261309062879
