,Performance Score,Trend Consistency Score,Total Score
SAMAT (TRY),-0.5325388029981797,113.46061651313096,112.92807771013278
KONKA (TRY),9.221507126902651,82.0170802482189,91.23858737512155
IHGZT (TRY),-11.13434484115683,76.93213487457754,65.79779003342071
DOBUR (TRY),7.721115894223088,57.41402417965161,65.1351400738747
ALKA (TRY),11.44827559408332,23.82898376059004,35.27725935467336
KARTN (TRY),1.8783172505766643,30.962373129732953,32.84069038030962
TEZOL (TRY),7.728904857751429,24.569975381973336,32.29888023972477
HURGZ (TRY),-31.0458284342674,62.525468224445355,31.479639790177956
DURDO (TRY),2.008621942343505,23.11215766258908,25.120779604932586
LILAK (TRY),-1.4824046348209095,23.640450085557564,22.158045450736655
VKING (TRY),-57.946343797356,38.99197894384763,-18.954364853508373
PRZMA (TRY),-75.62642769980744,35.87586837156252,-39.75055932824492
