,Performance Score,Trend Consistency Score,Total Score
SODSN (TRY),-34.808679912265085,142.1918437836303,107.38316387136521
HEKTS (TRY),-23.077335696187117,83.04475255636927,59.967416860182155
MRSHL (TRY),-33.62289332026775,77.67238720755903,44.04949388729128
IZFAS (TRY),-7.657518502200353,50.83834932780786,43.18083082560751
BAGFS (TRY),-22.20851297901251,61.208557147601724,39.00004416858921
PETKM (TRY),10.569171038192204,28.405770597854715,38.97494163604692
SEKUR (TRY),-19.357399493616683,57.90366183330406,38.546262339687374
EPLAS (TRY),-12.60463958832218,48.96545320344376,36.36081361512158
GUBRF (TRY),-11.460220229709044,46.139062995208796,34.67884276549975
SEYKM (TRY),-6.567697576482147,40.45493903216942,33.887241455687274
EKIZ (TRY),9.362062210001337,24.137053164161223,33.49911537416256
KMPUR (TRY),-2.128062257068712,34.21255431518505,32.08449205811634
CASA (TRY),9.924021946635554,20.158378980555565,30.082400927191117
ALKIM (TRY),7.715650382948227,21.855125816332638,29.570776199280864
KLKIM (TRY),2.2618356320806723,26.82149659956091,29.08333223164158
ISSEN (TRY),-2.9680968178175453,30.68943381854564,27.721337000728095
KOPOL (TRY),4.390696302299881,22.264689229384913,26.655385531684793
SASA (TRY),-3.65805749965618,30.309759637202283,26.651702137546103
DNISI (TRY),-4.455409951396236,27.61956233854176,23.16415238714552
EFORC (TRY),-5.442971981219491,27.365014039940107,21.922042058720614
TUPRS (TRY),-15.682627747045267,35.78920848177235,20.106580734727082
EGGUB (TRY),-5.113889316531425,23.74800272715563,18.634113410624202
AKSA (TRY),-7.08119767060065,25.38352545293553,18.302327782334878
EGPRO (TRY),-3.35094707738099,21.49250450300646,18.14155742562547
POLHO (TRY),-19.261764412386064,33.07254859999016,13.810784187604092
ISKPL (TRY),-22.329722802731123,34.58519029417236,12.255467491441234
TARKM (TRY),-11.43538996632261,23.170770916676396,11.735380950353786
RNPOL (TRY),-19.445765369597314,27.147650088534604,7.70188471893729
TRCAS (TRY),5.0,2.535584775769511,7.535584775769511
ACSEL (TRY),-33.34619820261742,40.13801790653423,6.791819703916808
MERCN (TRY),-14.307098129995339,19.860273856062822,5.553175726067483
TMPOL (TRY),-25.594181225321208,31.035476015740993,5.441294790419786
AYGAZ (TRY),-35.15568224216088,33.75812494852474,-1.3975572936361402
KORDS (TRY),-62.553426727013644,43.56351781576424,-18.9899089112494
SANFM (TRY),-39.258976877099336,19.737824659095647,-19.52115221800369
DYOBY (TRY),-54.7437863185212,22.92951407780931,-31.814272240711894
