,Performance Score,Trend Consistency Score,Total Score
HKTM (TRY),-0.32856290275845634,680.2612001657343,679.9326372629758
PRKAB (TRY),6.716115183717411,321.85779358186454,328.57390876558196
FORMT (TRY),-3.733087620349997,83.02707895406554,79.29399133371555
VESTL (TRY),-27.519583172199937,93.42813796678828,65.90855479458835
MAKIM (TRY),21.08320583843517,27.40530570443094,48.48851154286611
MAKTK (TRY),7.226880522448025,36.38753683324441,43.61441735569244
GEREL (TRY),0.25374290690432666,41.49436340238852,41.74810630929285
VESBE (TRY),10.130583730308292,28.784037511395965,38.91462124170425
SNICA (TRY),11.982497793651817,25.6064218591846,37.58891965283642
IMASM (TRY),6.617817891769511,29.939811213397608,36.557629105167116
SAFKR (TRY),9.630449967320484,25.954942777483165,35.58539274480365
BMSCH (TRY),-17.097280484787497,49.919507154272225,32.82222666948473
KLMSN (TRY),-7.724939387046136,40.43132037525979,32.70638098821365
ULUSE (TRY),-65.72683858551932,96.98012909174338,31.25329050622406
ERCB (TRY),0.5592455972227368,26.184820186480195,26.744065783702933
