,Performance Score,Trend Consistency Score,Total Score
YIGIT (TRY),14.075038820953903,336.68218205068143,350.75722087163535
BRISA (TRY),11.353525143442933,44.012356233391664,55.365881376834594
JANTS (TRY),17.009404686356806,32.208580957137436,49.217985643494245
PARSN (TRY),5.682526522373587,41.0287164700923,46.711242992465884
FMIZP (TRY),19.08255718805546,27.55768135956103,46.64023854761649
BFREN (TRY),6.322822398527257,31.144799691225323,37.46762208975258
BAHKM (TRY),9.765704202921327,27.566548532347063,37.33225273526839
BALAT (TRY),-30.962745122390203,60.367775698289506,29.405030575899303
EGEEN (TRY),-5.976424416281617,30.79135193178812,24.814927515506504
GOODY (TRY),6.418275132281027,15.986100259850348,22.404375392131374
DOKTA (TRY),1.2391414706563024,19.536387046103414,20.775528516759717
DITAS (TRY),-35.691035077148065,45.4639913822914,9.772956305143332
