,Performance Score,Trend Consistency Score,Total Score
NIBAS (TRY),-46.078888656793524,114.00919355578655,67.93030489899303
NUHCM (TRY),16.858256790130376,46.73718710218141,63.595443892311785
BASCM (TRY),2.7293902621960227,38.1526118119227,40.88200207411872
BSOKE (TRY),-9.45461885584485,47.09131069346654,37.63669183762169
AFYON (TRY),10.135779660770382,25.658981466765653,35.794761127536034
CIMSA (TRY),1.4710649448020607,31.516427921110488,32.98749286591255
OYAKC (TRY),7.927384750490907,24.889043395695232,32.81642814618614
BOBET (TRY),6.354409165303066,26.1466178921932,32.501027057496266
CMBTN (TRY),-11.596094668855109,42.52984923324205,30.933754564386938
LMKDC (TRY),-14.51789391449136,44.94591103134784,30.42801711685648
MARBL (TRY),5.426677687834244,21.931811788748465,27.35848947658271
BTCIM (TRY),0.021085417470135148,26.961825596600498,26.982911014070634
KONYA (TRY),-14.081187699081436,39.94634549282937,25.865157793747937
AKCNS (TRY),-9.57942756059583,35.07378805014089,25.49436048954506
GOLTS (TRY),1.7721143042625824,18.535491169521784,20.307605473784367
CMENT (TRY),-26.317134938270854,36.49850353049017,10.181368592219314
BUCIM (TRY),-31.02460319043324,28.548288779875733,-2.4763144105575066
