,Performance Score,Trend Consistency Score,Total Score
DERIM (TRY),-53.504610830847426,376.8810340490976,323.3764232182502
DIRIT (TRY),12.4767049092952,258.4526836227942,270.92938853208943
MNDRS (TRY),-21.722105357546866,167.91650602016463,146.19440066261777
SONME (TRY),15.513893243347193,103.84946171552774,119.36335495887494
DAGHL (TRY),13.69020121109487,100.48877387581629,114.17897508691117
BAYRK (TRY),-2.4271066469584515,91.67836575970875,89.2512591127503
SUNTK (TRY),-3.716540355261304,86.57967131129836,82.86313095603705
BRKO (TRY),-29.857131777633395,94.9830535950119,65.1259218173785
ENSRI (TRY),-0.950110388032539,62.364798237321246,61.414687849288704
ROYAL (TRY),8.851337803029024,48.89241974998346,57.743757553012486
ATEKS (TRY),14.416714650496068,31.75841680883686,46.17513145933293
BLCYT (TRY),17.166478654708882,26.25623938877701,43.422718043485894
ARSAN (TRY),-3.048987910209381,33.00381078230971,29.954822872100333
SNPAM (TRY),-20.445514873287358,49.79704679010202,29.351531916814665
MEGAP (TRY),12.032046920977754,17.018689659783053,29.050736580760805
RUBNS (TRY),-12.012258929784704,26.806194532996322,14.793935603211619
BOSSA (TRY),-21.370742963295534,34.79913871850162,13.428395755206083
SKTAS (TRY),-36.52552197383652,45.169025420865125,8.643503447028607
LUKSK (TRY),-23.67438971926881,31.92779642227155,8.253406703002739
KRTEK (TRY),-29.601675008020685,33.54898011013622,3.9473051021155356
DERHL (TRY),-24.157159174325706,27.5358429462528,3.3786837719270935
DAGI (TRY),-99.26064725496335,80.21798522386757,-19.042662031095773
RODRG (TRY),-107.73759043089905,88.55489089255745,-19.182699538341595
YUNSA (TRY),-46.1159632386147,23.73572381757283,-22.380239421041868
ARTMS (TRY),-92.08348743209648,59.949910470979404,-32.13357696111707
MAVI (TRY),-66.48050555315346,27.42484503026036,-39.055660522893106
SUWEN (TRY),-80.94034950418599,41.17292232624225,-39.76742717794374
DESA (TRY),-97.81202420834636,31.350978911407097,-66.46104529693926
VAKKO (TRY),-96.97344558035381,29.028851693493575,-67.94459388686023
BRMEN (TRY),-141.41635920950452,42.45951608919027,-98.95684312031426
HATEK (TRY),-544.196720794573,369.7265500022068,-174.47017079236622
