,Performance Score,Trend Consistency Score,Total Score
PSDTC (TRY),3.6907866996101983,774.207764747415,777.8985514470252
INTEM (TRY),-3.5771096611400504,306.502871839456,302.92576217831595
ARENA (TRY),4.085913980332637,108.20868290239149,112.29459688272412
TKNSA (TRY),1.326343009597195,105.9498958161657,107.27623882576289
DCTTR (TRY),13.066905208555417,81.40882608455914,94.47573129311455
BIZIM (TRY),-7.989062225022592,85.77531235982144,77.78625013479885
DGATE (TRY),7.595827424909103,66.41020394718528,74.00603137209438
DOAS (TRY),19.502381182534762,42.27926585595655,61.781647038491315
CRFSA (TRY),-8.508631548516716,64.92257540127534,56.41394385275862
PENTA (TRY),8.4761020675517,46.20173786938165,54.67783993693335
EBEBK (TRY),-16.73900264272711,68.70546257948945,51.966459936762334
GMTAS (TRY),12.05508801223333,31.22167335658763,43.27676136882096
TGSAS (TRY),9.053954629924666,31.510887942721613,40.56484257264628
DESPC (TRY),12.465408302178494,26.605216545419825,39.07062484759832
INDES (TRY),7.418492106751738,26.642292538158962,34.0607846449107
INGRM (TRY),5.306848184795392,27.80412154076408,33.11096972555947
KIMMR (TRY),0.2479873621159281,28.926774934142443,29.174762296258372
LYDHO (TRY),7.661404407213258,20.105319614232492,27.76672402144575
AZTEK (TRY),12.504219851159357,14.244453269965728,26.748673121125087
MOBTL (TRY),11.350589322924101,10.706150978903953,22.056740301828054
ETILR (TRY),-15.846896321284422,30.7140234547834,14.867127133498979
SANKO (TRY),3.0033275057705726,10.743840104147264,13.747167609917836
BIMAS (TRY),-12.43191714860036,22.863709321963672,10.431792173363311
MGROS (TRY),-28.919071700268095,26.507993645567826,-2.411078054700269
SOKM (TRY),-35.542860099484386,24.83719770499708,-10.705662394487305
AVTUR (TRY),-55.5500997699935,36.19869233018286,-19.351407439810643
