,Performance Score,Trend Consistency Score,Total Score
ZEDUR (TRY),4.521655569072295,147.16873580451988,151.69039137359218
MEPET (TRY),-39.17273646954045,160.48676351881093,121.31402704927048
MARTI (TRY),-28.970476923468325,109.62504048604491,80.65456356257658
TEKTU (TRY),7.190082510981143,69.27624462734826,76.4663271383294
MAALT (TRY),-21.322618463693743,55.14573038138107,33.82311191768733
AYCES (TRY),-6.433235445806273,35.60512752365798,29.171892077851705
KSTUR (TRY),-6.349426524178476,21.704809283629412,15.355382759450936
ULAS (TRY),9.250295317818724,0.014569366778146678,9.264864684596871
GRSEL (TRY),-40.13096529948446,24.356665625088926,-15.774299674395532
MERIT (TRY),-44.65371742351799,19.269513756011918,-25.38420366750607
PKENT (TRY),-49.107615579961276,6.016593167149472,-43.0910224128118
GZNMI (TRY),-75.2968272945788,20.96527359890048,-54.33155369567832
TUREX (TRY),-103.00568062287246,17.46875136163945,-85.53692926123301
METUR (TRY),-220.90598176677457,83.36230462706519,-137.5436771397094
