,Performance Score,Trend Consistency Score,Total Score
TAVHL (TRY),-1.754637832126937,732.5658507997248,730.8112129675978
GSDDE (TRY),7.970014451603431,64.32729585191362,72.29731030351705
PGSUS (TRY),-7.445718730417795,58.40216705069362,50.956448320275825
TLMAN (TRY),15.202512961167681,30.382273612400027,45.58478657356771
PASEU (TRY),11.454646471737249,28.203582640702855,39.658229112440104
HOROZ (TRY),0.7726952984952282,30.966333273068372,31.7390285715636
RYSAS (TRY),2.548067557031084,23.108397461351508,25.65646501838259
BINBN (TRY),-35.93993951560232,60.49911763216187,24.55917811655955
CLEBI (TRY),-3.1443179613510113,26.37301095177031,23.2286929904193
THYAO (TRY),-16.282453523847423,18.488296945843597,2.2058434219961747
