,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
SKYLP (TRY),1.3629348304524675,-0.31154874285491474,0.0,-0.24085343648362706,0.03683542641895855,-0.06900834623940127,-0.05681005748362268,0.016271352475627623,1.244711152853669,49215375.0,-1.6502153684210525,-2.0540414736842103
KFEIN (TRY),0.48912732152788113,-0.1763921349363251,-0.06372320989853524,-0.07196388261129523,0.09636103900697583,0.22460201855591813,0.14374689638129767,0.0115324979011256,-0.24430889476726553,388622831.0,10.674129620253165,-2.6077848101265824
VBTYZ (TRY),0.45632279255856134,-0.106516703265465,-0.010129570746719413,-0.18951532917420713,0.05313281616168279,0.03344905151452413,0.018397331652651457,0.9768445304895681,-29.315658649217426,386505937.0,0.30094615384615386,-8.822434717948719
LOGO (TRY),1.928767819614486,-0.0555275421819202,-0.1335806296407729,-0.18044480328645113,0.06286429551654842,0.044668593749801644,0.04842245777727318,0.004366382090569436,-0.9603709398260118,1380122000.0,3.703821052631579,-3.557042105263158
ATATP (TRY),1.1138794844969397,-0.23961972048535782,-0.009843438293124895,-0.07792746128646554,0.07079965695587946,0.1991521666864712,0.20241097267033556,0.03984181347748873,-1.2664996246588507,121649596.0,4.661927786666666,-5.904329792
PKART (TRY),0.1258737944717399,-0.13187454683901648,-0.008709103506924104,0.0,0.12816010563536276,0.24893933608004862,0.11637784326097077,0.0,3.270638132977439,-310657708.0,2.6729603956043957,8.742286197802198
REEDR (TRY),1.1176684124468308,-0.0928477449792541,-0.2923758749647639,-0.010259236379116188,0.10352998191776058,-0.33091257621225917,-0.10876806931210184,0.11104623720223011,0.596200281739044,3137858113.0,-1.027558567368421,-0.6126307073684211
OBASE (TRY),0.27721558350487824,-0.31085911063040883,-0.12880195590728533,-0.09703135808594959,0.4690496497869634,-0.23963835747697287,-0.05283587452315082,0.2129580169302325,3.431620353555343,216360999.0,-1.0806732527472527,-3.70846032967033
INTEK (TRY),1.3781286893995819,-0.07785893673861469,-0.027050269322978816,-0.1389506103348247,0.12627565973051896,0.3322887829256343,0.1603105948703106,0.052750380112387724,-1.6923292940961878,-13952894.0,15.211525375,-25.74291
PATEK (TRY),0.002179435496074386,-53.32225161233861,-13.802421767419597,-10.212179028078179,27.142121553631803,-52.9670356902381,-0.04505768145101031,0.27662796705938214,2.2294286074243,-10974410.0,-0.8852625746268656,-1.973629708955224
ARDYZ (TRY),1.244397021653025,-0.18773371798190827,-0.00026490256927749024,-0.05655864457717854,0.14364289810263986,0.14404638146956966,0.09193660768140194,0.23032324249591976,-4.29967040264355,1738275473.0,2.1953577705882354,-9.439314829411765
MIATK (TRY),1.1966759422212312,-0.034925981996822134,0.0,0.0,0.0804500527142186,0.7363971379997089,0.35788323904996555,0.1448234586886856,-0.22469618085172285,1089559284.0,4.608258012145749,-1.035457975708502
HTTBT (TRY),0.9649616762282351,-0.1676949245518737,-0.10686869379612218,0.0,0.19063623652268194,0.25563976314822234,0.1058413957094316,0.0911523309191671,-1.6632669155979776,219731617.0,0.9229355466666667,-1.53508816
ESCOM (TRY),2.0,-0.015622948547652938,0.0,0.0,0.00028194800244073237,-0.3023543825941231,-0.13028599289961146,0.0,-0.0012062126878423498,975414701.0,-4.467132046863404,0.005388311353193805
FORTE (TRY),0.3641057294617787,-0.11482650804473624,-0.07372254182283712,-0.01613062000314256,0.045064988443629904,-0.1264491529860286,-0.058608085754391,0.14591903006679138,2.644539136361225,115845511.0,-1.2241356865671642,-3.2372747313432835
MTRKS (TRY),0.7260385222318302,-0.08662086745269036,-0.006866479744059229,-0.000646376685976279,0.08131236857289627,0.18354453575137783,0.17629660404714592,0.10276671316860922,-1.426601976733602,214007675.0,1.2995437213930348,-1.8539316417910447
EDATA (TRY),0.24919644533946642,-0.07283555868737186,-0.35324300612937953,0.0,0.03698971134584867,-0.20031360906372994,-0.059606851744151125,0.0074954826061723445,-2.141009100558899,136322081.0,-0.4440345925925926,0.9506821037037037
KAREL (TRY),0.09025875214210392,-0.38021531431754335,-0.6655562023833315,-0.10720992035875758,0.5607926393381016,-1.222766074341658,-0.13260801036863604,2.532616098045211,0.6403878744361764,1462851535.0,-1.8934669654634448,-1.2125532853282526
FONET (TRY),0.5521472453661542,-0.26143140546178933,-0.020315270896898847,-0.009173566674301983,0.3747910667585156,0.5662201590123382,0.12451822716739261,0.02130323604471238,-1.2837407239031513,486328315.0,1.0433280625,-1.3393627222222222
LINK (TRY),0.9178531632604539,-0.0990465145655205,-0.029739672997138186,-0.05331115396786751,0.046633812197077525,0.4696181321959657,0.1789753869185357,0.0003364995855121817,-0.0551449800891819,570774143.0,11.707727235172623,-0.645622385273167
ODINE (TRY),1.0365798604154408,-0.06929572778547212,-0.04266387940629418,-0.09278011820956143,0.10135776264826615,0.3233671962435321,0.14933275675472893,0.019958083822640454,-1.1751723651975539,373471362.0,3.639248950226244,-4.276744796380091
SMART (TRY),1.638556875017695,-0.12432793462708867,-0.001071452126343567,-0.2576368240292523,0.28395757972029284,0.03707482512996669,0.027517624960022257,0.17979289261899817,-11.50249972658289,-21609110.0,0.38654678697528444,-4.4462543114947035
