,Amortisman/Kar,Arge/Kar,Brüt Kar/Hasılat,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması,Pazarlama/Kar,Sermaye Harcaması/Dönem Net,Yönetim/Kar
toptan-ve-perakende-ticaret,0.034519836495207575,0.0,0.4030733264948967,-0.48807208293204446,-0.0028425904109875616,0.6168560381253556,6840556431.192307,2.5202420872646973,-4.379548482138291,-0.1664091994761699,-2.425888192718811,-0.14481331864344196
varlik-yonetimi,,,,,0.18515070920789214,,,6.562806331941558,,,,
otomotiv,0.12203651168224729,-0.02948656203632716,0.34989103742341593,0.05105054620255723,0.04772151376541559,0.5447357142378247,6776222585.333333,18.38706032519583,-14.715505450173708,-0.26059133995524825,-1.0884027008625472,-0.10435452443736615
metal-esya-ve-makine,1.0013928439976725,-0.15355797082798534,0.4116048993606446,-4.540017854255432,-0.028200586930893726,0.76216960683328,1971448443.7333333,-3.4188556856421743,-3.074971665228648,-1.5148881518893773,-1.9377273066526561,-3.183449696658857
kagit-ve-kagit-urunleri,-0.015962815871646868,-0.004671368637026204,0.2688118596318768,0.644269730941415,-0.06631282719042862,4.342035321222386,-496494499.8333333,-2.2227891826295236,0.18429059588625948,-0.05498601010901746,-0.13407259009627823,-0.0044712730925564785
mobilya-ve-dekorasyon,0.1413052049064258,-0.005664175150632952,0.482292121210775,0.25254807812639013,0.039441646030310674,0.36845878073039506,1436253202.5,2.2858081954883107,-4.666495615265732,-0.2660523992738673,-1.8961647857679027,-0.23706050225575925
finansal-kiralama,,,,0.6131211633819006,0.042376305400500955,,,1.3631459680944853,,,,
savunma,0.11193317776770416,-0.04786258422950912,0.6452323751319335,0.08466985269547181,0.011845045353651969,0.503115564275587,12284892944.714285,-2.875028294568044,-4.827628408246578,-0.1151796865472736,-2.3351068730327946,-0.1774650358390875
ana-metal,0.1263597135341131,0.0,0.21024908395567116,0.0313013449784475,0.007826154467308935,0.5923220141403339,1225388129.25,0.1914660316242745,-1.1230804252845898,-0.1858773735024207,4.857461058489991,-0.12369772190982699
menkul-kiymet-yatirim-ortakligi,0.020569173995070984,0.0,inf,-0.09882592601307422,-0.07477909087272504,0.01561809418174271,60159660.666666664,-0.24314158352750578,0.1923846021255129,-0.0010464658265122286,0.9156302352343386,-0.18326121726599054
