,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
SAYAS (TRY),0.3660283973914837,-0.09970304171644352,-0.1682584413594497,0.0,0.0483205500724014,0.03183592552226969,0.014136043226181023,0.26118191207050845,-1.7557127956747995,223238229.0,0.2529976051779935,-0.4441911326860841
EKOS (TRY),0.36513053404000545,-0.24928208994457934,-0.09408054882230579,-0.0035940128816390068,0.08008634273690486,0.11539646402462948,0.02495155058114455,0.13725025348601336,-2.210731059018326,448492693.0,0.3554626535714286,-0.7858323285714286
KLYPV (TRY),0.47286400036607085,-0.07295240943620945,-0.014211801313832253,-0.025252427649730423,0.16661545256006777,0.03600151868703959,0.007018703532990319,1.0269511231649573,-7.252808064065727,6088041963.0,0.4446279722888356,-3.2248013429256597
CWENE (TRY),0.48813178758339903,-0.07679594847020496,-0.09937590633033287,-0.004161052196168211,0.08968546551123008,0.07111797324680465,0.023482317702750923,0.39988362039955483,-2.7765936960420636,3534376446.0,0.365234734,-1.01410846
EUPWR (TRY),0.4972930320073219,-0.09965833301937613,-0.053555308412797126,-0.029886931372544223,0.050737277516472966,0.05458231541885397,0.01904898267140315,0.08381972126197279,-3.2794214538951465,2366537000.0,0.3380469696969697,-1.1085984848484849
YEOTK (TRY),0.674771603366917,-0.05273710811892944,-0.04774504966725802,-0.015641110284141935,0.022657091035759223,0.17509424270278293,0.09856274615048267,1.1835731353099994,-0.4630543102327198,1048635447.0,2.524326101408451,-1.168900081690141
KONTR (TRY),0.28346420944837997,-0.21339435766385784,-0.09830856647478724,-0.045074432830585175,0.26287385654197387,0.09752991155841381,0.010753943991735434,2.013944214381566,-13.059393032310576,1325657985.0,0.42140648923076923,-5.50331296923077
ALFAS (TRY),0.2095075477229982,-0.07664921508662342,-0.12517496508783307,-0.0036635947445122267,0.06234990997292364,0.12351131288975671,0.027505182112815992,0.3472078117437223,-9.13241825911205,2050379476.0,0.5413186467391304,-4.943548293478261
ASTOR (TRY),0.6916690994828185,-0.025351234200140304,-0.07828273191592357,-0.010399921570047764,0.04686969910203991,0.2728681757375272,0.16447015895531267,0.09347262064613575,-0.8329738332119768,9740935493.0,5.034949983967936,-4.193981588176353
SMRTG (TRY),0.38953078939429525,-0.13377863517922012,-0.04740820672890748,0.0,0.051205445638599904,0.09697732180310717,0.02526173632958219,1.817436985967146,-6.133347051331075,1424470657.0,0.7280790205981382,-4.465561314121608
