,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
MANAS (TRY),1.1899996049575894,-0.18144484843182845,-0.10548447417737337,-0.01857777601249879,0.06918073733632794,-0.2613406344984491,-0.07663081077334279,0.5804860780929262,1.0822852123267421,29913731.0,-0.6829088855057754,-0.739102188149437
TATEN (TRY),1.07323434178625,-0.02908824069648273,0.0,0.0,0.16306139223680807,0.7072186530305465,0.12823594572478794,1.0337935429093041,-1.2191008855135197,1102779311.0,5.314878527629234,-6.47937311942959
ODAS (TRY),0.451183711713708,-0.14175593540711906,-0.04866534803014123,-0.00015343627930431092,0.5375807618534761,-0.8458472737030284,-0.08719708044643361,0.038481874032326696,0.9914966046656749,7550978866.0,-2.1274864757142855,-2.109395617142857
BASGZ (TRY),0.15411434232162186,-0.08728098674667431,-0.007988019398584184,0.0,0.38062490074479893,0.42065148549324516,0.052438167740070825,0.11588143139061921,-0.8086875516516623,4653785674.0,3.3984558314285715,-2.7482889257142857
MOGAN (TRY),0.1265520340654838,-0.6967991351553019,-0.02163329407083048,0.0,4.580044932240738,-2.325429311735555,-0.03145387576442512,0.5519048973633438,-0.18928282701303062,18669588903.0,-1.5537159683095993,0.2940917508569293
KARYE (TRY),0.8576949128673185,-0.05519337282669179,0.0,0.0,0.3299818950584848,0.7117929523665526,0.06958688676337975,0.21484457417617428,-0.036253558335425325,322708215.0,4.3019732,-0.15596183636363636
AHGAZ (TRY),0.2960000527563415,-0.2821430101977152,-0.002150671977037573,0.0,0.2682073774023435,0.22766786985808887,0.01753609377572116,0.23741829574382559,-5.43641386632367,6895649420.0,0.6785619546153846,-3.6889436192307694
AKSUE (TRY),0.40696048806681584,-0.5232755582534099,0.0,0.0,0.9054162621066696,-0.33002552528731705,-0.01002475870766617,0.07174563829464291,0.6274123111392812,24642008.0,-0.1269584393939394,-0.07965528787878788
YAYLA (TRY),-0.41007750944856325,0.6926227152599554,-0.0,-0.0,-0.0,2.8824212450463538,-0.08831651855391992,0.004411189835638075,0.5470247917922958,44252378.0,-1.24682464160401,-0.6820439899749373
CATES (TRY),0.16913956792565388,-0.43497724150324646,0.0,0.0,0.9884697720264168,-3.7563185988665806,-0.3649408474786879,0.009867218468120198,0.01881106485109886,7375338783.0,-20.759442306295398,-0.390507215496368
ENJSA (TRY),0.4483505894245626,-0.18981011295208622,0.0,0.0,0.055548025380064446,-0.05679170583534715,-0.02699704479013902,0.7246030905650782,3.3070227949611595,34964917000.0,-4.108805666730733,-13.587913999944119
ZOREN (TRY),0.2501918901316209,-0.2295853554336942,-0.03194422170081495,0.0,0.6506337524207927,-0.31857349439157745,-0.019900235489032785,0.7797329221871369,-1.5327542765089406,52383918000.0,-0.4727688,0.7246384
AKFYE (TRY),0.7822843003372126,-0.06366514377828457,0.0,0.0,0.2910275810149368,0.03946134991541274,0.0031713193868451997,0.2232201169796148,-12.581725514120848,23727019000.0,0.13146282003939974,-1.6540291170479933
BIGEN (TRY),0.7139646719383473,-0.067408204707708,0.0,0.0,0.2512666317077455,0.2870283482700972,0.04223880087044836,1.4017052858689578,-2.6698381211168556,1008327080.0,0.424865422,-1.1343219
