,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
OZGYO (TRY),1.7117182972398581,-0.34858492562005683,-0.08797499621811197,0.0,0.019284713214188332,-5.448828971915961,-0.15114627661136426,0.0010147333534042912,0.11340513428709563,1189174162.0,-2.945221044,-0.334003188
ALGYO (TRY),1.8759369328636335,-0.16182528543136107,0.0,0.0,0.0020769571702543284,0.6408804624916178,0.024750970659908486,0.12141800355717441,-3.1455843113460498,11274744827.0,1.5388230365769495,-4.840497601794341
SNGYO (TRY),0.6491362028008445,-0.05552422199023957,-0.05014675997958156,0.0,0.0037870121354020687,0.6031161805168912,0.0850596407475851,0.14255144594872568,-0.18157779059217627,15371764547.0,1.30828137475,-0.2375548415
BEGYO (TRY),1.042146018761103,-0.015407970595333404,-0.003611496839960157,0.0,0.0021131608201250536,1.1201802853225538,0.27527369011961267,0.0,-0.002553251865925563,228830853.0,1.3905505423312883,-0.003550425766871166
EDIP (TRY),1.0899968060963483,-0.06444864267067071,0.0,0.0,0.011410399879598063,1.5280121635759334,0.1503894140611122,0.30605481242244226,-0.004758777845506917,1613794633.0,14.375032169230769,-0.06840758461538461
PEKGY (TRY),1.6394639087552947,-0.8336153938796675,-0.05691767337528505,0.0,0.08166327942941633,0.45650852769407574,0.01309073593813679,1.046521643382786,-1.4442454750055294,3067910205.0,0.042329002,-0.0611334696
KZBGY (TRY),0.6643195685320938,-0.017962765103388248,-0.03173398084736661,0.0,0.002005560340179503,1.1110084503842352,0.31902301278740053,0.07689985149854095,-0.12108683571230633,7719118535.0,24.24655303,-2.9359383833333332
AGYO (TRY),1.0049229829341833,-0.2392407841245285,-0.0492730996946522,0.0,0.03708727263210549,-1.2850485019427977,-0.08536771580676189,0.0003699734473767375,0.1160214701304368,2456548152.0,-1.6113756626414522,-0.18695417331206804
MSGYO (TRY),1.65093122979146,-0.10232861304105957,-0.01996184965172891,0.0,0.002771335616411638,0.36579528709612225,0.021225159680518732,0.0,2.8022340353176327,2469634962.0,0.7615428528539326,2.134021301620178
VRGYO (TRY),0.30575993009929925,-0.3803768753677211,0.0,0.0,0.016108145143306885,-5.465146943482777,-0.07745842711190931,0.035603713300411025,-0.33270096697544277,2731554675.0,-0.5177757792682927,0.1722645024390244
