,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
GRTHO (TRY),0.392708658405231,-0.0904687610036003,-0.05088754004837116,0.0,0.06697312373587772,0.6106460825282426,0.14000490069254082,0.07567363109372069,-0.31630389020622507,2738491538.0,6.668986912,-2.109426504
GOKNR (TRY),0.500965984200546,-0.036365206365697934,-0.18456349975598577,-0.0031285823295057443,0.04913870682949089,0.18745089692119277,0.09654471593465638,0.3188860992364201,-0.6234170077284085,2516696358.0,3.39151552,-2.1143284571428573
KAYSE (TRY),0.0997518899735274,-0.3331928788871472,-0.13374364048969545,-0.03647442401209239,0.3235292951415233,-1.2469267117826661,-0.059199992658483636,0.20635437125316006,0.1799129675100977,20478731753.0,-4.038680586402267,-0.7266110091250532
PETUN (TRY),0.3766236558177789,-0.09900412876249469,-0.1779202316871796,-0.014211443621053687,0.07100286411141918,0.0007642191825979033,0.00022053235567569466,0.22546325452691707,-486.2871661202519,3012812197.0,0.007673101584005011,-3.7313308246386128
ELITE (TRY),1.0740316815896782,-0.03648859280812941,-0.16658432211596946,0.0,0.024312222015959874,0.20915966583041776,0.19664788440716832,0.0864562901616778,-0.2147649695695633,233208639.0,3.0466610725308643,-0.6543160725308642
ULUUN (TRY),0.08816144307909282,-0.10134798604883707,-0.27534081918864145,-0.0006400979234322959,0.15229522131831927,-0.03734699716423556,-0.005085241989853618,0.6808386431589475,0.8867174272917561,4300540614.0,-0.21477399466666666,-0.190443844
KTSKR (TRY),0.08993542154693349,-0.3277722109666572,-0.1609185653984814,0.0,0.7821132971459887,2.1813357740663744,0.0566572963357341,0.02233064704860071,-0.06291430744086303,2756306862.0,8.283011543478262,-0.5211199347826087
PNSUT (TRY),0.12484344377088774,-0.26264924180757765,-0.499513801246847,-0.07529839074657727,0.3080728494831365,-1.0039670163092473,-0.09446208389354097,0.5201524859397605,0.20718655862883018,6516235385.0,-5.376839811968294,-1.1140089369401973
TABGD (TRY),0.3455527372603468,-0.1018512510089253,-0.13523141936746838,0.0,0.3577147379190873,0.17283235431697502,0.07848865347058803,0.23155885786869615,-0.5000694032872379,4859925866.0,7.316210890497987,-3.6586132143349204
PENGD (TRY),0.018182394294655804,-2.2782562924769696,-2.542959773137126,0.0,1.2897693187858579,-7.391321854859162,-0.0591629068093495,0.26593790181560506,1.1940414667256813,22957347.0,-1.8392867714285714,-2.196184674285714
