,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
ECZYT (TRY),,-inf,,,inf,inf,0.021159527052616624,3.5376988696900105e-06,1.3345528175101398,14199089038.0,4.224187780952381,5.6374017047619045
OYLUM (TRY),0.5305999171852762,-0.21170019488400277,-0.10696398058927888,0.0,0.10026927331694696,-0.13685949338193118,-0.04808015333530443,0.17995746443953972,0.1944961400673668,332006281.0,-0.5739920352941177,-0.11163923529411765
INVEO (TRY),2.2990429867494293,0.025680535873648828,0.0011330541132984191,-0.0,-0.00053569666963063,0.5335494872268267,-0.15647230456825012,0.11621267705576988,0.2059375666736879,8030873483.0,-1.428754213,-0.294234166
OSTIM (TRY),0.03917953029331021,-1.9865221143142253,-1.3012598938758622,-0.0029053416604533115,1.3041383377573186,5.782775873684215,0.04740428411199034,0.040364240945313434,-0.26548170712442304,693296315.0,0.7702777809628775,-0.20449466025003715
MARKA (TRY),1.3337884378391391,-0.05904670169504975,-4.4865583044988705e-05,0.0,0.007814943102883226,0.3222385489852574,0.311142768173445,0.0,-0.09125289892419085,-161660395.0,4.164302953787518,-0.3800047165316818
YESIL (TRY),2.0,-0.04579672779982824,0.0,0.0,0.0,-1.4417921713939519,-0.1550728100377517,0.0,-0.0,-408833818.0,-0.2597351534883721,0.0
UMPAS (TRY),,-inf,,,-inf,-inf,-0.0007053041689017288,0.10669282524944208,-51.97460987723165,195551104.0,-0.025480060178069044,1.324316187403524
NTHOL (TRY),0.5833087337192681,-0.250742331221003,-0.029995634178891024,0.0,0.37089562359186334,0.23257247776458628,0.031072493148868494,0.13772902727674496,-3.3141552181202627,16667857000.0,5.25467,-17.414792
ISBIR (TRY),0.38540290163245045,-0.13129573092614838,-0.26028869715680647,-0.0015490560185923957,0.13197629614218015,-0.14747903412806335,-0.03803865200675857,0.41369912522943386,0.7136493809896804,3930180527.0,-12.473927472223457,-8.90201061906244
GLRYH (TRY),10.374927409224753,-0.07260939357069371,-0.03271374784103691,-0.0025171629636416932,0.06510306843627263,0.026170749699129064,0.01472524594538344,0.8678906996258031,-9.278002114775141,798996631.0,1.9226551583333333,-17.838398625
DOHOL (TRY),0.3468607674326053,-0.20276787887278552,-0.2529042215794907,-0.009255525310303377,0.1915664038947682,0.20642763938967812,0.030911050276019356,0.48097600868928314,-2.2329557259667046,8610777000.0,1.6497048524338593,-3.6837178963972432
BRYAT (TRY),2.0,-0.7869563769955654,0.0,0.0,0.0,12.795576737342852,0.07260087915077085,0.0,-0.24619640341902074,2213452659.0,72.29294307555556,-17.798262577777777
LRSHO (TRY),0.5055955998823608,-0.11297976344766356,-0.1468451184292435,-0.03563209886622241,0.06809086208597388,0.26269929551353355,0.025831391521907273,0.11416688870203112,-1.435509507746693,1043982000.0,0.8044427083333333,-1.15478515625
UFUK (TRY),,-inf,,,inf,-inf,-0.15977500051382934,0.0,-0.4144240992382184,874180174.0,-5.137812611260075,2.129233363476215
MZHLD (TRY),0.10122625449934132,-0.8422959710539372,-1.2772087716785658,0.0,0.6195723682494202,-1.5198998327891011,-0.06041132400202515,0.79943381187276,-5.818905655011142,-1283076040.0,-2.2003414548770714,12.803579334739634
DENGE (TRY),0.15076846199835922,-1.2226014257073716,-0.02813660220548987,0.0,0.5550845034181987,-4.210198523242584,-0.2011702799568077,0.19218561799831296,-1.563933342943348,-250642885.0,-1.1321754033333333,1.7706468633333334
HEDEF (TRY),2.0,-0.23212974210385803,0.0,0.0,0.010390624006692672,-4.39873908865997,-0.4003824270396259,0.005997077407322787,-0.002075049255019448,1433422977.0,-0.6812319578666667,0.0014135898666666666
IZINV (TRY),0.3497210869601501,-0.38390583261684924,-0.45357373489572284,0.0,0.5118015148495223,-1.3650287257127927,-0.10386127024987078,0.02228915396531756,0.7590284972087147,-46036049.0,-2.333903879615743,-1.7714995543743264
INVES (TRY),2.0,-0.008791606050912719,0.0,0.0,0.0012263404794322637,0.22907361544079588,0.06671164929665178,0.0,-0.12961990301740303,14393700560.0,7.797307114666666,-1.010686192
GSDHO (TRY),2.9989915890481913,-0.1433606270768556,0.0,0.0,0.0,0.10266472838575993,0.029158078250437782,0.2673388305658219,-2.762368612854281,-3877148000.0,0.436306,-1.205238
ALARK (TRY),0.08537543060760501,-2.86666224761294,-0.3200895320838716,-0.03812512910316846,1.1521459644276453,2.708885072744818,0.01870688855113553,0.2601997914343367,-0.7309315017043482,50547420000.0,4.039701149425287,-2.9527448275862067
ATSYH (TRY),0.6897459309288931,-0.12736242953394006,0.0,0.0,0.019019781100001472,-0.0058815426282359026,-0.001310296997681886,0.0,-0.0,-102684166.0,-0.0271975,0.0
OTTO (TRY),1.1598519816004735,-0.12948727701876828,0.0,0.0,0.03974970538644574,0.11427207691881097,0.043098768587304694,0.013574360174678704,-2.511154641895587,150143499.0,4.067930148552916,-10.21520167544566
METRO (TRY),-0.024141049202238744,31.577754324650872,-0.0,-0.0,-2.81783408450623,1565.558679435164,-0.3006011708543139,0.0,-0.003675994433524719,167425265.0,-2.010820962962963,0.0073917666666666665
KCHOL (TRY),0.40687215364175616,-0.20203150975338205,-0.1683041774063172,-0.010502234355697226,0.08886787560815654,0.0019918556590968017,0.0003341732870164722,1.6633858900753828,-92.93415007656968,485705000000.0,0.5149842271293376,-47.859621451104104
RALYH (TRY),0.36177051384591424,-0.03073947904254317,0.0,0.0,0.026987745273055887,0.7704102689238512,0.17872128937158657,0.7100954691237784,-2.697613398907508,1447028164.0,20.69404822222222,-55.82454176190476
EUHOL (TRY),,-inf,,,,-inf,-0.6784952247447478,0.0,-0.4278215720850111,-582774327.0,-1.5026651066666668,0.6428725482514243
UNLU (TRY),inf,-0.32981037284572606,-0.030326345556957218,0.0,0.011872736329192534,0.024552777621523875,0.02880658377566198,0.4708080224784864,-0.33979070158760494,201501713.0,0.6682505348810743,-0.2270653180835325
IEYHO (TRY),0.37769484783096896,-0.28568941502724715,-0.13591731187261444,0.0,0.14454472745079414,-0.5227925248498213,-0.16202103431367246,0.1854035983413449,0.17992296306806657,-4018257523.0,-1.2209920510910266,-0.2196845077148536
KERVN (TRY),0.16665972996950462,-116.133181992294,-0.7512317583350232,0.0,105.44069909796234,707.0859827403618,0.048358127624237024,1.9868065437616416,-5.292073108482452,-6775863507.0,0.6398826599763591,-3.3863058174451104
MMCAS (TRY),1.3683436952893477,-0.29270631783804907,-0.005053312394098442,0.0,0.07343326745990299,0.07469023207234556,0.14473831258916425,0.0,-1.0320471627999392,-118973118.0,0.11924873877914016,-0.12307032252448268
BERA (TRY),0.45086060802314515,-0.13082299203811304,-0.11902422579979274,-0.010220613707331168,0.04252282078536869,0.10609994845868935,0.023733301321558046,0.0920760944941845,-2.8032426448558723,-3558884059.0,1.1667141861826698,-3.270582961065574
COSMO (TRY),0.1611584970068869,-0.23759990245583917,-0.011227040294524126,0.0,0.05880332116618859,0.04575502786347452,0.013378583537301222,0.29893276756240733,-2.557793136716248,-105418135.0,0.7877567441976481,-2.0149187937106814
