,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
ANGEN (TRY),1.262923979745893,-0.20885406263966494,-0.25680053390786983,-0.004692510220864012,0.16365765830541937,-0.3271020598873683,-0.12250091165386737,0.0008610072773713714,1.0363525498114354,107584019.0,-0.9948915727272727,-1.031058418181818
SELEC (TRY),0.20237127328981724,-0.049519717685761425,-0.25116091180570166,0.0,0.023959569380586347,0.07909375358120674,0.029666201216705837,0.3418583866130138,1.7585066990741964,9489735214.0,3.3151768872785827,5.8297607648953305
ONCSM (TRY),0.7397681876002612,-0.41624629428123033,-0.05903972736704147,0.0,0.18845560647710038,-0.21357441767967467,-0.1545075795678746,0.1700325677503983,0.4092262025987238,88566579.0,-2.4808242348008385,-1.015218280922432
TRILC (TRY),0.6243260182626076,-0.11634978356889417,-0.05036122865854345,0.0,0.005322174688900169,0.045137891717130896,0.01811390396393189,0.8527231461016302,-2.2023713708329855,575832796.0,0.44719768857575476,-0.9848953864219276
EGEPO (TRY),0.4654677842592922,-0.19443444246986535,-0.08096713234991577,0.0,0.28521592856636646,-0.05046457746513721,-0.013973420207101909,0.04449277566089232,3.1111213873807926,239932529.0,-0.1896062,-0.589887904
GENIL (TRY),0.3865451254431459,-0.07845630415416008,-0.2284155298776063,0.0,0.0646626970153339,0.026093067331206376,0.012077105579006838,0.1570360544004893,1.7929023940304125,1949171657.0,0.49558936,0.88854335
MPARK (TRY),0.5471741116372956,-0.15503276189949947,0.0,0.0,0.12484912949583972,0.23990155313966285,0.11016833909579864,0.35307256372622464,-0.6794901126945149,11108737000.0,27.27584654367265,-18.53366804179842
DEVA (TRY),0.7986229162778631,-0.14615336778326368,-0.1862586371987474,-0.050362176494962385,0.08801348196660712,0.005623073764220028,0.0023350565916629385,0.2962741674979006,-34.78054381032136,16233843021.0,0.34706475907463485,-12.071101058013966
MEDTR (TRY),0.7900393877804501,-0.14576193911539037,-0.16250745144943576,-0.013984304241633848,0.053370832336775836,0.04437871652397061,0.026130833758146156,0.02102142096713056,2.1735550223248117,637536681.0,0.6170584705882353,1.341210537815126
ECILC (TRY),0.6792689600706987,-0.22572021360160366,-0.2659968640151957,-0.014505021169072835,0.12530455624538864,0.17187987478897254,0.018213262233336535,0.07129165844456188,1.3688471499427028,28223733000.0,1.4937556547879638,2.0447231707673
TNZTP (TRY),0.7243769608521481,-0.15901456771723388,-0.002511492879143638,0.0,0.12290637965533906,0.7948309711310086,0.1802312908819513,0.09215909620106265,1.5668728339902487,2984934082.0,9.8423733984375,15.4217475
RTALB (TRY),0.5310469164748932,-0.27325677407845633,-0.20170501824963125,-0.2634931572432,0.23565403916052458,0.620227401310265,0.02718906761786438,0.13406624419230476,-0.48593788294678536,788354316.0,0.52234738,-0.25382838
LKMNH (TRY),0.34613756036237586,-0.17125157558147042,-0.05219739915844477,0.0,0.37309148104890005,0.23550144570337309,0.06282426200753827,0.5910131937637984,-1.1856316788077619,1187464443.0,1.110095087962963,-1.3161639027777778
