,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
KRDMA (TRY),0.10806695721559173,-0.13790563494212793,-0.043298696253242154,0.0,0.3669783869641313,-0.4964805280683517,-0.03700020355834043,0.09060390433468857,0.8571739422746394,39422600898.0,-2.6591216807017544,-2.2793298140350875
YKSLN (TRY),0.3896792530153261,-0.15226859187769953,-0.11594660456505626,0.0,0.03570612498206435,-0.641030218383232,-0.25239766579943657,1.189832884190322,0.3141514991966721,-19292682.0,-1.553034664,-0.487888168
EREGL (TRY) (1),0.19606595983513472,-0.133882730195509,-0.051422762480077086,-0.008387844118283971,0.22088000342321198,0.33695613269825286,0.0317089578826578,0.5118781446351462,-2.5967599827554335,131847100000.0,1.9259068571428573,-5.001117857142857
ARZUM (TRY),0.601437191119634,-0.11791923937836324,-0.2541223409267749,0.0,0.036589979737235795,-0.11991755990944294,-0.12240749536899102,6.3746564561561465,0.28288230997114666,-241420910.0,-12.417389941012107,-3.5126599503259857
GEDZA (TRY),0.38109967117416127,-0.27315269238858536,-0.11275797073080344,0.0,0.15112734918254372,0.02432026424332932,0.005886547975658437,0.08519506503319693,-3.3467199028814174,535373258.0,0.1430449031207133,-0.4787312242798354
KRDMD (TRY),0.10806695721559173,-0.13790563494212793,-0.043298696253242154,0.0,0.3669783869641313,-0.4964805280683517,-0.03700020355834043,0.09060390433468857,0.8571739422746394,39422600898.0,-2.6591216807017544,-2.2793298140350875
AYES (TRY),0.06399252221304977,-0.08163277563268577,-0.33169331432724664,0.0,0.08352009931375094,0.1171058488127882,0.0182406559634256,0.5078531024264722,-0.5723439165718952,217797579.0,0.37267441333333334,-0.21329793333333333
GIPTA (TRY),0.49792687380822176,-0.06034631115085664,-0.17720510278858195,0.0,0.022848248546332155,0.17493613096257898,0.06516113377795371,0.014331401249467602,2.0451445528628254,507972300.0,1.3759648560606061,2.8140470303030303
IZMDC (TRY),-0.1034319048297512,0.10932986094860517,0.03452656539102446,-0.0,-0.37054020839231366,0.4448931799166386,-0.0489686078340575,1.4149049304827237,0.6833556419701405,22788516.0,-1.427852074,-0.9757307706666667
BURVA (TRY),0.6391739533885257,-0.12399896377006049,-0.0560234540079145,0.0,0.019901498410862483,0.13507732699371353,0.28369897790965776,0.04104667230457208,-0.125418761671036,0.0,4.812477611956549,-0.6035749826611748
