,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
GLRMK (TRY),0.23106055607282677,-0.05827905457584853,0.0,0.0,0.11768330332412279,0.4475395883935799,0.08555960560843812,0.8389849736330528,-0.4371592729926695,6182224997.0,11.897054913333333,-5.200907876666666
TKFEN (TRY),0.20545967080668767,-0.20252475937366643,-0.23481729260935016,-0.004745863763096919,0.18561881162032354,0.03379909823569963,0.006134320473390027,0.4317533537027884,-6.109925734549891,20863339000.0,1.092137837837838,-6.672881081081081
AKFIS (TRY),0.15016544282835026,-0.34447003171991014,-0.01668634690290074,0.0,0.057956069438285095,0.1379922953210906,0.0035343903348306767,0.9967580886788999,-0.21030078924102505,12040696000.0,0.27198052455229815,-0.05719771897153629
YBTAS (TRY),0.29942758124908453,-0.13548383612828127,-0.1531612507246512,0.0,0.15364142159676614,-0.22170303675011827,-0.051375951240799675,0.0,1.0658205358069677,647019140.0,-913.06838,-973.16703
ANELE (TRY),0.30256797348605907,-0.14749865303241055,0.0,0.0,0.008340998396388567,-0.12157648582682315,-0.015793929259992873,0.742827425070364,0.031769115928889535,-1465334387.0,-0.5993428490566037,-0.01904059245283019
PAMEL (TRY),-0.1205909629242909,1.1004361139694583,-0.0,-0.0,-4.494372823318472,43.72513994841288,-0.35226861225714345,0.0059484304854854125,0.2749883485052707,677585478.0,-11.301186663682724,-3.107694656795903
YYAPI (TRY),-2.583791452385175,0.1755335764530599,-0.0,-0.0,-0.009204385156282094,-7.792779686899402,0.11483026276797281,8.213850854321388e-05,0.035753217452182885,-685832756.0,0.69868165225474,0.024980117042914144
BRKSN (TRY),0.6967597598654465,-0.20964199652059382,-0.16503333440028947,0.0,0.059281776975586536,-0.016002842792873152,-0.010733269831863687,0.06919461022972404,1.5004044655371331,113931657.0,-0.23741365384615384,-0.35621650641025643
GESAN (TRY),0.5489649203680813,-0.08784820001453719,-0.03701251518189366,-0.01456178392018264,0.03508753622604331,0.16130469649766338,0.06210185862035685,0.1391276621622066,-0.40477010190841256,3272446000.0,2.923554347826087,-1.1833673913043479
TURGG (TRY),,-inf,,,inf,inf,0.029495060243133784,0.0,0.007528855389580563,1447938698.0,8.68522669694086,0.06538981582699219
IHLGM (TRY),0.4744553676644889,-0.6840209631645348,-0.3245835381155821,0.0,0.08295150971452607,-2.057773859298701,-0.1900646519346546,0.03906772322442579,0.0006976108404672539,-8049003096.0,-0.4700314,-0.000327899
BRLSM (TRY),0.5177469992784496,-0.13132414599910844,0.0,0.0,0.01745993087492924,0.2141515892407373,0.13453052598014079,0.43327217250505523,-0.5921928003761774,-455768774.0,1.9886231205357143,-1.1776482946428573
SANEL (TRY),0.6932580876036918,-0.20283838389245462,-0.0044228529248006646,0.0,0.028609314985281395,0.23556945003257368,0.10777208179126842,0.05689774686258865,-0.15835679541862538,-197806748.0,1.4088623308049215,-0.22310292389228267
PNLSN (TRY),0.2764614925881873,-0.056396265576001366,-0.06948773541629687,-0.005986644118019681,0.0688924634432046,0.08476611597883002,0.018963946844363977,0.031200192992892787,-4.280422725696821,495262117.0,0.8558804666666666,-3.6635302
ORGE (TRY),1.159387022169221,-0.025859625257594845,0.0,0.0,0.003087179412419449,0.17386242601004465,0.17894513980683324,0.036896200180615665,0.08578260594986832,1155875963.0,8.6399260875,0.741155375
ENKAI (TRY),0.5031208983005558,-0.10920726637074192,-0.01976849342847872,0.0,0.08211213865944104,0.48811153191209905,0.06792332891913257,0.014682894386739307,-0.2601625726498326,204824998000.0,4.1003228496191015,-1.0667505412517984
