,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
ALKA (TRY),0.266902492154478,-0.1618116475343044,-0.12173469655069578,-0.00161666828486713,0.05747975979704952,-0.19335305278794174,-0.05787693627823329,0.07668975583620755,1.8093870010020308,0.0,-0.19143845034013607,-0.346386243537415
SAMAT (TRY),-0.029532990156117066,0.6895008243205857,0.4510375433361954,-0.0,-0.8434978180192636,5.920175463063125,-0.05345217143016652,0.0017172538758369093,-0.0,-19523345.0,-0.8582940983606557,0.0
IHGZT (TRY),0.35314836309216463,-0.32426108565658224,-0.3198763010984632,0.0,0.10756412430624084,0.18152164508536225,0.029565481102461447,0.03006773639746112,0.11585657242999062,-2984838669.0,0.14293643125,0.016560125
KARTN (TRY),-0.20506244276121516,0.2128590754569443,0.26026412916246383,-0.0,-0.5278832696919753,0.820612683044816,-0.16595010257256237,0.1624982165515591,-0.5836537191887142,2552057386.0,-8.684698146666667,5.068856373333333
DURDO (TRY),0.4244836160278687,-0.22251094345466543,-0.24431813469279035,0.0,0.18237632041353408,-0.18724114230960123,-0.06604500048865716,0.4093290229012424,-0.00023419442497796985,666236933.0,-1.59201057,0.00037284
DOBUR (TRY),0.920499740618353,-0.15305574629791088,-0.42711246799325703,0.0,0.02940500811390907,-0.03426552223058737,-0.0738947295618865,-2.3081652583574384,0.08994499837765658,-315792686.0,-0.8927980858088339,-0.08030272237965047
TEZOL (TRY),0.2955224770729861,-0.12710599309509568,-0.13962599096624373,0.0,0.11420163843276648,0.09787684500082962,0.02487024309612344,0.13883674981947505,-1.7640783858967712,3012285472.0,0.291416504,-0.514081556
HURGZ (TRY),-0.20690994945317087,1.4788731785076072,1.0225306476781753,-0.0,-0.3251595584684755,4.753930286625302,-0.23780681714385743,0.05200720817979618,-1.3674769655324748,-11027437755.0,-1.7690557297297298,2.4191429611486486
KONKA (TRY),0.3253293662846606,-0.20229204077292612,-0.10402264285115227,0.0,0.07784610013678185,-0.48135200093278896,-0.06120234216219876,0.00594508677289195,0.5721727091368703,-1054350063.0,-3.438160446153846,-1.967221576923077
VKING (TRY),0.21790191711394272,-0.5814454784665347,-0.7675476555280367,-0.05443975535944731,0.4692722168010817,-2.7508419778104054,-0.18922932376852175,53.274627669904284,0.0967824046348894,-344766096.0,-11.555412119047618,-1.1183605714285714
LILAK (TRY),0.5621169314300819,-0.05161206980349222,-0.2038919556812969,0.0,0.10363143465060452,0.1670364439533029,0.07523760515536791,0.1997243971977158,-0.6327638721094454,3541144000.0,1.9921694915254238,-1.2605728813559323
PRZMA (TRY),0.301342794158489,-0.6107933503143033,-0.06553459612310797,0.0,0.36321025306798405,-0.5628628994044307,-0.019969832233012536,0.061146015589601956,0.055192370415607386,17050825.0,-0.11812497222222222,-0.006519597222222223
