,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
SEKUR (TRY),0.2550394823883081,-0.1344833764636374,-0.14638573545650338,-0.0079509912917152,0.16256330303747607,-0.05601996843551903,-0.013080831897918296,1.036721322774307,1.060539554068022,-32661715.0,-0.3415974690056073,-0.3622776274499717
POLHO (TRY),0.46694602076068886,-0.25113304433780853,-0.03416099285056748,-0.023053733140239806,0.16440743207924577,-0.21898723883077997,-0.032550442818841445,0.11016158012732445,0.9974368472427425,6492189578.0,-0.8348948688200396,-0.8327549057350033
GUBRF (TRY),0.2949675505923346,-0.11257260312196425,-0.18261561686151673,0.0,0.13733050394073196,-0.08077838694385098,-0.025718892680873063,0.5793113503016801,2.5861217715810536,9580168294.0,-3.2873635688622755,-8.501522496537122
AYGAZ (TRY),0.16812367349448457,-0.19140103162656846,-0.2615417168376079,-0.0017470907400481146,0.0821643995002036,0.15439491626344432,0.03431883264091928,0.0382720570314544,0.5894401308570866,43638708000.0,9.657012479470065,5.692230699587354
TARKM (TRY),0.43594786071503155,-0.1462563344566401,-0.14105170168556605,0.0,0.059562175423579666,0.16530483118932046,0.0409410289599328,0.12711837167246035,-2.8540894225150897,724038196.0,4.822320190476191,-13.763333047619048
KLKIM (TRY),0.8051163741066331,-0.08219719132819853,-0.1607949312443415,-0.005674131727294034,0.033959979135919735,0.15403746061698556,0.14114835069216078,0.09179937802917058,-0.5906897987886521,776829783.0,2.0199697,-1.1931754956521738
KOPOL (TRY),0.3315844450396348,-0.03297777034095405,-0.0212689607117736,0.0,0.0740646390544974,0.24484501696799996,0.058801490435295575,0.3328664672200783,-0.4181723077223978,438392626.0,0.30465161300271404,-0.12739686806069578
TRCAS (TRY),,-inf,,,inf,inf,0.08372373226647485,0.0,0.6749684115822251,4861225328.0,3.5134569561815336,2.3714724608763693
ALKIM (TRY),0.2834870562985592,-0.19029175908288715,-0.14496463464867554,-0.0008851884611780441,0.15393024391543977,-0.1026778993531183,-0.02803827374704198,0.03609259341027256,2.231419386287647,2313306403.0,-0.45488998,-1.01505032
DYOBY (TRY),0.5446702341165232,-0.08665527715858651,-0.18306974629795875,-0.04199106956656867,0.06265969394666916,-0.02894442588121434,-0.011309477659817725,0.7878637068592549,0.9234245368237839,2690541400.0,-0.5632179666666667,-0.52008929
BAGFS (TRY),0.7049019119048967,-0.10593806680661842,-0.01426010324192384,0.0,0.602006647599325,-1.1024678542949806,-0.12941598506516844,0.7630246116066826,-1.394626729384735,4460202632.0,-9.714296733333333,13.547817881481482
RNPOL (TRY),0.5488962716415516,-0.07937281080853668,-0.039503964045343586,0.0,0.056975367795956966,0.09121875074188375,0.030233308307472805,0.4970858279272612,1.8465802556182485,266055998.0,1.5008266,2.771396766666667
ACSEL (TRY),0.131705019892796,-0.3197436009156092,-0.15976570392301134,0.0,0.21852191240994356,-0.4037141704079518,-0.04461012307301931,0.5010825380730829,0.7880480712931593,398664480.0,-3.372106755458556,-2.657382224833748
CASA (TRY),,-inf,,,,inf,0.031391192892447996,0.0,0.0,68352308.0,1.548314693877551,0.0
PETKM (TRY),-0.03211473854720671,1.449410156036223,0.5728886660464277,-0.0,-2.086361558495073,2.5527161473507323,-0.05093156361904201,0.7601870440899675,0.7545804372016609,31631395000.0,-2.503023595328283,-1.888732638888889
TMPOL (TRY),0.39636053532391596,-0.0979137487166459,-0.20965939487168334,0.0,0.19342731337967664,0.10842472520943089,0.019484077585667964,1.0993673914747548,-2.2436077716648435,240239691.0,2.512599717813051,-5.637288253968254
SANFM (TRY),0.24110036802067095,-0.3319427976704873,-0.35113727129168765,0.0,0.19334283250665413,0.22650476646092854,0.05086416456118716,0.6736197389299569,6.13858157487539,155122662.0,0.3146968133333333,1.93179206
TUPRS (TRY),0.1678961348952321,-0.12241030115049904,-0.07324970207394634,-0.002357397961943548,0.07067519498369433,0.13461028338194697,0.040330426831844526,0.06728421790075306,-0.6492138178231287,199490958000.0,9.505498765826792,-6.1711011440754495
SEYKM (TRY),0.39205407379511764,-0.4050950339690048,-0.2965035270482237,0.0,0.1623795008083942,-0.384247177566753,-0.07932344238312353,0.004220185190808877,-0.9804866658087596,-120353824.0,-0.172862565,0.16948944
MRSHL (TRY),0.6381522839653547,-0.04537010333680399,-0.3338774468538104,-0.008757899007185096,0.06472097711450236,-0.09392277555883936,-0.09525239601598909,0.5366036640489031,0.6315121958095972,-747537492.0,-22.144582556479666,-13.984573955529376
EGPRO (TRY),0.674407936211266,-0.08411594008789093,-0.16165747813092604,-0.004133788593674589,0.06624298140418015,0.12343137300572801,0.07344164611155289,0.0887269500398461,-0.21643131316807737,1942830859.0,10.930218244093778,-2.3656414877828933
KORDS (TRY),0.25898031501774127,-0.2544436244685116,-0.1898475338943437,-0.020541638464230086,0.17838358230270934,-0.13907662415822813,-0.025021975850151118,1.3812661774909556,1.1366085447029604,3299408372.0,-5.634797663872109,-6.404559172429319
DNISI (TRY),0.36020389721192275,-0.08834366477639467,-0.24910065259036826,0.0,0.422307885065397,-0.35881326994992857,-0.04050162211448439,0.08590495070125959,-5.660497234001975,236357087.0,-0.4495380262574061,2.5446087542087543
SASA (TRY),0.3551559781334643,-0.042161115941446066,-0.10306964341000449,-0.005669168562513569,0.10429559285287644,1.0593991717582234,0.078684146618409,0.7827012298980106,-1.6314780594725897,31505355000.0,0.41718638435178873,-0.6806304327806423
IZFAS (TRY),0.7207469630660295,-0.10186951078208038,-0.11764525062484352,0.0,0.049414389216590304,0.04716260160806754,0.0346451427600697,0.29762627225465094,-0.5492705529508832,-90892399.0,0.20399825608465608,-0.11205023492063491
ISKPL (TRY),0.4552359048009207,-0.24460179079450411,-0.11575616849438526,0.0,0.1237627511244283,0.3096998715360507,0.10371485892124686,0.3740196642123762,-0.9037708012432194,103999693.0,1.4151107326459451,-1.278935760691305
KMPUR (TRY),0.28508470892270094,-0.06657999148328816,-0.15093318145974285,-0.0010905968372310869,0.03367924132233457,-0.27689521931501804,-0.10771183218603275,1.2859988014782535,-1.7937515087789202,1605403422.0,-2.1503195084327436,3.85713886260798
EFORC (TRY),0.3651150647224925,-0.09443891140595435,-0.05857954827133867,0.0,0.031191327894790035,0.17945176553831002,0.05155372367007533,0.44801838579346487,-1.9457410375797524,1253979566.0,1.215243090909091,-2.36454835261708
EKIZ (TRY),0.054498590396626516,-0.6647156483767079,0.0,0.0,0.0013764062908725695,9.60027261875124,0.42693625486029835,0.0,6.688958429531487e-05,-163889366.0,15.068409936162215,0.0010079196766212826
MERCN (TRY),0.4437095262156945,-0.15204008329919666,-0.14678723270902963,-0.01603552707294559,0.055559122905717545,-0.05130641550922586,-0.022070214933999525,0.3909861227961848,-0.2856160458911962,327919981.0,-0.3146338990194439,0.08986449014126346
SODSN (TRY),0.4080450699260084,-0.2855871100985212,-0.013706383567341244,0.0,0.10267539158272077,-0.002108109512063198,-0.0008870039145871844,0.004087944506915704,-162.9371820917794,-46958390.0,-0.013224466666666667,2.1547573333333334
EPLAS (TRY),0.10122625327634419,-0.8178289765417464,-1.277609717916709,0.0,0.6195670757900201,-2.216811927695672,-0.09112979251760857,0.029259918957737576,-1.446257576975548,-500052629.0,-1.827730715925034,2.643369396577523
AKSA (TRY),0.300111288743251,-0.08096796311465201,-0.0862230490189582,-0.011109004173616035,0.20505890574282234,0.13353891247249036,0.031898236144357585,0.2696603011657509,-2.996879357747718,13554855000.0,0.2925675675675676,-0.876789703989704
ISSEN (TRY),0.4416226535291167,-0.14701885629116113,-0.04096893642180729,0.0,0.08812422570545629,-0.11092660421505585,-0.026269704004926033,0.3928637163115638,2.103582338868449,500966455.0,-0.4462322678998978,-0.9386863177874394
EGGUB (TRY),0.8509869555256835,-0.25718092148381827,-0.005831017637521147,0.0,0.14475243705245888,0.11833884488870905,0.03406984870016405,0.1696020106199418,-3.3192766804698626,3957519421.0,2.53526073,-8.41523182
HEKTS (TRY),-0.4151037625671426,0.5021280952275408,0.2398665472561337,0.1911266508318261,-0.408880570701279,1.349632536321911,-0.11324852113534536,0.5268014642896148,-0.12652335771412604,907821539.0,-0.32345498612099643,0.040924610913404505
