,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
MAKTK (TRY),0.8897386781040768,-0.11455977641840431,-0.0873427074461881,0.0,0.10992034104080428,0.2623477472773995,0.11291678202880226,0.07984458894652971,0.6300313066187826,-2744707525.0,1.060422725,0.668099515
MAKIM (TRY),0.6056185734460137,-0.1325121482150075,-0.11670386956803713,-0.007331276348315621,0.032603640167706706,0.08676763406413503,0.04547874995007394,0.23300045019581075,-5.013829442172058,385595823.0,0.49432773214285713,-2.4784749375
VESBE (TRY),0.20996139333714098,-0.053085226072115,-0.2140297856686803,-0.0599863655280285,0.19279133251229752,0.016807755589128184,0.003714153738590799,0.33956545790207593,-16.909448967001218,13834792000.0,0.1661425,-2.809378125
ERCB (TRY),0.35741664125218026,-0.08649478180621945,-0.27116069501917384,-0.004711940581749477,0.09894700038622126,0.011025336569610389,0.002236753118091969,1.1860335499098378,-5.3584589564313205,441627156.0,0.36732019183473996,-1.9682701718149331
SNICA (TRY),0.47002377646501653,-0.11260202781745836,-0.17688621171455077,0.0,0.1452696845993162,-0.48708806289463297,-0.12295391560441539,0.22851254553408137,0.19137568238950858,1859792041.0,-0.9591894733333334,-0.18356554
ULUSE (TRY),0.002320666671988669,-43.70441133461349,-18.54991945528494,-2.010206100172607,13.022832891333444,-62.899643842561396,-0.1601235177536859,4.779250421432822,0.055987635308550915,306436010.0,-9.0382684,-0.506031275
GEREL (TRY),0.30825679422376395,-0.19285847254937663,-0.22201742881512582,0.0,0.03320446772930086,0.3119049822687686,0.07859954799141684,0.7300454541235415,-3.4444122321346895,-62718752.0,1.0509123708333334,-3.619775425
FORMT (TRY),0.4644575941435571,-0.406183618659514,-0.12091604376360929,-0.007858593518936835,0.20218055651578426,-0.4926186368218776,-0.07939912177343712,0.353867485077127,1.5826008089827708,-648029965.0,-0.28327462940656123,-0.4483106576631184
BMSCH (TRY),0.019667332258607808,-2.064684246716416,-1.6690595150404752,0.0,0.713637345567487,-4.270603180130258,-0.12139842769033435,0.45112090548784484,0.40737098926819065,42923773.0,-5.459837106831094,-2.224179243452958
PRKAB (TRY),0.2344524288209046,-0.07929775513470233,-0.2977342667136599,-0.00972363435030151,0.03834725854911073,-0.21659852087229395,-0.13263165806763744,0.06605014867581287,-0.22618891015431947,-1419582530.0,-3.35611196640566,0.7591153080371663
KLMSN (TRY),0.23627896376733717,-0.21021405075914054,-0.339694942125834,-0.028921658494684848,0.13272428304563222,-0.19199455803052093,-0.028693381008417125,0.9373154958994916,-0.33079421293882816,520382796.0,-3.282679255050505,1.0858913005050506
VESTL (TRY),0.4176822075480498,-0.070966080727699,-0.33195792124645346,-0.03778496861108338,0.08493055577919979,-0.18485357295829805,-0.06315802757211207,1.3767012114472845,1.0168717173113992,15861262000.0,-32.85286893064962,-33.407153248115996
SAFKR (TRY),0.5585371937737974,-0.08192173736083455,-0.0956962129651617,-0.038002648450418945,0.015519642710223014,0.0822817205694733,0.05075315246304368,0.08493065534874061,-0.33025551428753275,204201470.0,1.715598780141844,-0.5665859574468085
IMASM (TRY),0.7638583995215775,-0.09334652291235586,-0.13826127466995802,-0.05044348446896819,0.024335378323108385,0.16527994578962016,0.07364046648468926,0.05744526264280859,-1.3575983424726734,804139000.0,0.29532756756756756,-0.4009362162162162
HKTM (TRY),0.6358028470756579,-0.348607670120112,-0.09194194829880982,-0.048398891894686796,0.17364828170544847,-0.293282561690336,-0.08199036026807521,0.5288604698753877,0.020838837923599092,185613359.0,-1.2006573904761906,-0.02502030476190476
