,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
YIGIT (TRY),0.21032046740457996,-0.07812966777789725,-0.20332976217114304,-0.031291989293797624,0.06413219743374585,0.10631483654186372,0.02828348956169954,0.0759782033956053,-0.6257458467152496,2088367611.0,0.7421491880199668,-0.464396772046589
BAHKM (TRY),0.31362716394212287,-0.11292579287315102,-0.06921134359017746,0.0,0.07478442393039976,0.047834310189156404,0.007168156607546133,0.003112859780875179,2.3161494052523217,211015750.0,0.1735204909090909,0.4018993818181818
JANTS (TRY),0.442621005151164,-0.08348305382085885,-0.14795339783099673,-0.011690609864155167,0.061591689155310436,0.041288373994068386,0.013994284686025083,0.13514035037876884,-3.1633994875239835,3288151857.0,0.14372519285714286,-0.45466020142857144
DOKTA (TRY),0.22752758090060052,-0.22992492031941048,-0.17713421680362743,-0.021769555843302812,0.17512389263115027,-0.16977688856073458,-0.030530025329934117,1.049409507851785,2.610503310381489,1203717461.0,-1.4230219043209877,-3.7148033919753085
GOODY (TRY),0.18435571473679016,-0.08993212936735578,-0.23571994609626792,0.0,0.18650461495061949,-0.2225562393901054,-0.06762646818248505,0.3801117730621593,0.33185116069506726,1115760095.0,-3.2534946444444444,-1.079675974074074
DITAS (TRY),0.05529261977673209,-2.1279749942944477,-1.3952834759065158,-0.40028130536500106,2.2104154081205496,-2.2121146578710564,-0.13779966117772918,3.731497086768878,0.2816822914196556,-164517607.0,-2.4188705529411765,-0.681353
PARSN (TRY),0.213160508366517,-0.4228562567526181,-0.2564174938933639,-0.03273923691088088,0.5701199253626058,-0.37567150961742135,-0.020611184822706977,0.4091023176005616,0.5615149599084333,1556195492.0,-4.333332620085071,-2.4332310924369747
BFREN (TRY),0.21165256922857736,-0.0163477316512928,-0.09847080723832197,0.0,0.20022069670875844,0.21601566728677865,0.09305908193300376,0.46398828281922355,0.1315607325435136,-510371959.0,3.0816875638919528,0.4054290733758612
BALAT (TRY),-0.7178112052175701,2.5463543037495935,0.08874098985024186,-0.0,-0.4008043058507638,1.533758341092918,-0.06458974366676463,0.0,-0.1410461324816098,-162771470.0,-0.7994607769564507,0.11276085066045023
FMIZP (TRY),0.3723677029286704,-0.10133733484242309,-0.037149922040157254,0.0,0.10773242820167274,0.4332129811808414,0.20839187079726723,0.056679911557267836,-0.008953828697206066,-89385190.0,7.634751229092815,-0.06836025465108053
BRISA (TRY),0.4710802540308505,-0.08394034684321278,-0.22207730108196191,-0.007932644207413018,0.14691965063147766,0.09332346253025314,0.035199188631330335,0.6877734797899688,-1.5906974608560813,10184289530.0,4.9776837580681175,-7.9179889149035105
EGEEN (TRY),0.5409805817235049,-0.10634855019615733,-0.06338215785635248,-0.014243411125641283,0.06634023551453576,0.3351913005482346,0.10176980803695952,0.22828066612725295,0.04670778298928405,4762645000.0,270.8022222222222,12.648571428571428
