,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
KONYA (TRY),0.19671530306652374,-0.4711564313481026,-0.057028590402012344,0.0,0.29360586660934845,-0.33163645891642307,-0.07619722789180505,0.14159470459297072,0.5092714872238578,2005274521.0,-70.29779170360156,-35.80066092944614
AKCNS (TRY),0.33359151250134805,-0.12225382819878756,-0.018511409356879248,0.0,0.17591601470671858,0.2319604843619761,0.058895846766782965,0.13711567178447506,-0.4300663614561852,5992427000.0,8.736135849608507,-3.7571181580280704
MARBL (TRY),0.8077032307351311,-0.18501551317380255,-0.2524244769394176,0.0,0.07666435658974964,0.058627335078496955,0.032574868146480404,0.2902193998238046,-1.6128023410635213,156227909.0,0.49546541557305335,-0.799087782152231
BUCIM (TRY),0.49072584217664955,-0.10188648403835458,-0.0980655133819567,-0.006986130212794052,0.08838382747961852,0.08361386661795034,0.02548266455112307,0.2039802954375383,-6.831673773329685,4936459597.0,0.322883374,-2.205833878
BASCM (TRY),0.17562974222998703,-0.36820914493402807,-0.05208448521633438,-0.0158614615559428,0.23743120816188595,-0.40788211704898963,-0.08172310498766248,0.052864510573433374,0.22825931581648812,2818559501.0,-0.913797853030303,-0.20858287272727272
OYAKC (TRY),0.568621731584337,-0.08116843908654499,-0.012739225514813267,-0.005577483773795937,0.10387626323836059,0.28369649362658683,0.12699907115862302,0.00487581279091835,-1.2004919295663266,26991940168.0,1.4742667119837103,-1.7698452897647279
BSOKE (TRY),0.2265941248728454,-0.13961489805750557,-0.3235375520276536,0.0,0.4635882425502106,0.31293650778422644,0.0278396238906946,0.3994450256742362,-0.3239206267076724,-846313000.0,0.81576,-0.26424149044305084
NUHCM (TRY),0.5425191918359379,-0.12305560766061126,-0.05292123557413817,-0.004594556149414817,0.14030708531456643,0.218394095769572,0.07564844854654598,0.09769544103227708,1.2729670993043436,14021664323.0,12.212656150974345,15.546309475307163
CMBTN (TRY),0.05889491989027538,-0.6134907995000546,-0.047617378048422115,0.0,0.9042962538306608,-0.022387600732291894,-0.002985573824716658,0.3425530572466072,6.005383700642251,-362934556.0,-3.5508937853107345,-21.324479661016948
CIMSA (TRY),0.42941618338959164,-0.22300635127157792,-0.01495058688211267,-0.0033427396832371964,0.16206678729030943,0.22235075802297233,0.039758519476185236,0.8684565043427644,-5.424932287636169,21901049000.0,2.8424974433978325,-15.420356158212165
GOLTS (TRY),0.6846356949032328,-0.07580547693781269,-0.13423341531896787,0.0,0.04039891443603322,0.15380424756733055,0.05745511371035844,0.20058595291880574,-0.8029168570098748,5590333979.0,33.43278577777778,-26.843747277777776
LMKDC (TRY),0.8687933682485683,-0.04071180675239365,-0.011180276956350403,0.0,0.04119614622191145,0.400360903787095,0.3880974293787633,0.0,-0.1567849974106259,-983182264.0,4.1864012513471565,-0.6563649093523051
NIBAS (TRY),0.3684718493407156,-0.7711017577664888,-0.26750912161961976,0.0,0.19216649736372662,-0.7671188814122988,-0.025732981839722398,0.01578332601402165,0.7535116154417448,-81231624.0,-0.35481981481481484,-0.2673608518518519
BTCIM (TRY),0.27739690789799865,-0.11867366134187027,-0.13394738806617001,0.0,0.2553708461944321,0.07725723256797261,0.011945932837784596,0.296486933565086,-0.45077703302133726,8096737000.0,1.659561111111111,-0.7480920337842605
BOBET (TRY),0.19567927129070387,-0.05789669869442207,-0.00571992421869619,0.0,0.5894487255233538,0.08131185796371684,0.01876214092562173,0.08079079954559618,-13.583491945984676,1887378598.0,0.42386997368421053,-5.75763437368421
CMENT (TRY),0.3791089843394978,-0.17571396436367834,-0.04338689663684679,0.0,0.13887823806383337,0.17247307045392965,0.045325953979580516,0.018200040550171475,-0.16698655007595686,4813075000.0,10.843683993020479,-1.8107493801083663
AFYON (TRY),0.507514162228384,-0.07244520820398678,-0.007638125283804715,0.0,0.20732461996638904,0.2609464969372357,0.06357610209181702,0.0030748720686214477,-0.7014582841502983,2522711804.0,1.0727890375,-0.7525167575
