,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
SKTAS (TRY),0.3587642887623398,-0.3123658597039421,-0.2963932773205342,-0.004336941563442168,0.2733506030902989,-0.7230794037677832,-0.14698649735466562,0.3268598113842107,-1.240633691684106,-1076354851.0,-2.0917092207207206,2.5950449324324323
DAGHL (TRY),0.08583685064102842,-0.9029298207122451,-0.009031781441382896,0.0,0.25450784207138183,0.01328571854994557,0.00225965591832318,0.04354592796337661,-5.897521226406422,-106073005.0,0.018129933333333334,-0.10692166666666666
MAVI (TRY),1.0057810530238929,-0.06651608335681358,-0.30015579043486584,-0.012908903430063682,0.060586181515422055,0.0703104358528832,0.13909224168713896,0.23283564349301,0.16240007166058726,5895306000.0,6.85691846063999,1.1135640493787382
VAKKO (TRY),1.0194199713543928,-0.056671212230039174,-0.3858974934022228,0.0,0.0846247428643272,0.0532547874901453,0.06325330463871458,0.20714839090651077,-0.2205400950998087,3163792681.0,5.0405437875,-1.11164200625
SNPAM (TRY),0.18450575477663309,-0.27040189151957184,-0.04261744796185548,0.0,0.45466672505064504,0.6013965843773352,0.01326228968770848,0.0,-2.8128788585909317,4231115169.0,0.6710782230769231,-1.887661746153846
YUNSA (TRY),0.3785706886645896,-0.1253391178299815,-0.26569000560914835,-0.012358808964503271,0.18163673259345606,0.049917091393703095,0.008121439950086897,0.09805672488745064,0.2560199570922843,83644825.0,0.0763479625,0.019546602083333333
SUWEN (TRY),1.0654585672695769,-0.03508689638138362,-0.3500527547270102,0.0,0.09514682346087094,0.05003207681105585,0.08814634602068008,0.8044663724024136,-0.14638670190090042,468315978.0,1.0371356116071428,-0.15182286160714287
MEGAP (TRY),0.1515839872902031,-0.06286241800725928,-0.004896409653899463,0.0,0.03141829955014665,0.26285519925053197,0.033672113978722246,0.37412287369080605,-0.2533533387022067,895207788.0,1.7634126836363637,-0.44676649090909093
DERHL (TRY),0.3161563566371508,-0.14149474703591505,-0.12904937038345538,0.0,0.0763607098325175,0.05458933423434708,0.01546652060627959,0.8589660512172984,-0.21474703825855027,286736856.0,0.2694733094424757,-0.05786859509250148
DERIM (TRY),0.25526018813951074,-0.05610066105570377,-0.19182628773108581,0.0,0.004229157925781923,0.08110173390729848,0.0549770515452222,0.07809709447698304,-0.0070018364061134155,-153402082.0,1.4002490555555556,-0.009804314814814814
ARTMS (TRY),0.783322889580175,-0.06267310757444053,-0.04121076019168697,0.0,0.04073117463759373,0.25527692350157694,0.11195238623936309,0.0733425021779975,-0.20641222703366252,486631200.0,3.2374426285714284,-0.6682477428571428
RUBNS (TRY),0.42998500529118594,-0.02713710104962388,-0.006276883473541647,0.0,0.1464929300708083,0.03585699934318549,0.00680305887215323,0.09507181718714618,-12.796921084589657,1427762157.0,0.35717711409395975,-4.570767342281879
KRTEK (TRY),0.12576650267031472,-0.30488144073481455,-0.4379058949489148,-0.017574299925440302,0.0,-1.4781421701843125,-0.12400655867500558,0.9459788883404678,0.6191655589447341,779928046.0,-10.30701980353669,-6.3817516777112395
BRMEN (TRY),0.8787923248762233,-0.06877331180367843,-0.4949652886502723,0.0,0.011696814742284501,-0.13305732066096493,-0.17239879555361853,0.09772638063607166,0.14983029453136226,-878202993.0,-0.33821444187368005,-0.05067476944069379
