,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
PENTA (TRY),0.14543354916709209,-0.07707932322614383,-0.1504877182520398,0.0,0.02011294493898997,0.09760236940469182,0.03477519416264928,0.02286749357040253,-0.07214283746851559,335360580.0,0.8635454721027862,-0.06229862064058386
AVTUR (TRY),-0.4645533476484233,0.7249059557881673,-0.0,-0.0,-0.8159834503211277,-0.8649824402366696,0.0055071402840374565,0.0,0.3589219942420241,-107827006.0,0.12434153333333334,0.044628911111111114
PSDTC (TRY),1.5988739266523067,-0.7536033719967885,0.0,0.0,0.020665284864483803,0.4696128703395824,0.008059355018887241,0.9032483600775785,1.809966577201752,-10760398.0,3.5972945454545453,6.510982895622895
INDES (TRY),0.09629097715540245,-0.09134037768746944,-0.07490512327576222,0.0,0.015503085081803373,0.051097112051965675,0.01394013126498632,0.602881566033836,-4.0910178570668,1095124851.0,0.43732520133333336,-1.789105208
DGATE (TRY),0.10143760895319977,-0.13928846524115263,-0.10693267804012055,0.0,0.00951724715239289,-0.07257373521568021,-0.018955709923809533,0.053719329858998,0.0843566951825917,-147792958.0,-2.1548232333333335,-0.18177376666666667
GMTAS (TRY),0.4086899886094636,-0.02561430786458767,-0.21688467883621898,0.0,0.028865231759509204,0.31496511716077064,0.10566034268553626,0.0,-0.17326929867490662,35193381.0,2.43892163538874,-0.4225902412868633
ARENA (TRY),0.11649014553883127,-0.11318709109906482,-0.13472809349588769,0.0,0.04506695130755952,-0.07522581570922189,-0.02586630367668411,4.164735853248642,-0.5466160263325941,459928038.0,-2.90802189,1.58957137
ETILR (TRY),0.2870290723476223,-0.14988112200042258,-0.03501804511457634,0.0,0.05432681553669689,0.10575162129622846,0.05097616599455446,0.804788674593121,-0.7275948815866002,-77665905.0,0.27916463333333336,-0.20311875833333334
INGRM (TRY),0.11788971516814498,-0.14669751797398733,-0.12819649861563837,0.0,0.024648755329656314,0.07213554750839508,0.01560030495680734,1.8893855815507339,0.07963430365307511,-21018826.0,7.529944875,0.5996419166666667
SOKM (TRY),0.3655780596068475,-0.025699652256165807,-0.5800704702401265,0.0,0.10582484134368098,0.0008286173030453341,0.0008107251290127551,0.32877005759876604,-61.49202692988024,22502044564.0,0.10322666179134438,-6.347616666754988
BIZIM (TRY),0.27324416552086905,-0.10871878694424614,-0.47444363127372147,0.0,0.12179026458695932,-0.16091850375787392,-0.14500481895052986,1.5062257024117336,0.0375315347640651,440639570.0,-20.882181479181003,-0.7837403201353983
CRFSA (TRY),0.4503697246148671,-0.059345834180861784,-0.4673888510082153,0.0,0.1139480657091904,-0.09633016239433488,-0.10425244519191273,2.074609977502033,0.33997363707981904,-13055670000.0,-22.312630112542458,-7.585706012177751
LYDHO (TRY),0.6476118802444315,-2.8368533549609247,-0.003017928319497936,0.0,0.7797521506942224,-13.368469212723344,-0.16267502749404247,0.00013470301069783724,3.0020076487204337,-84541887.0,-2.2746853990384617,-6.8286229663461535
BIMAS (TRY),0.3495880190597228,-0.05760777963321569,-0.4129632310026076,0.0,0.09476502424349766,0.1023306009378076,0.07880787529078745,0.3143144603119254,-0.910867013609269,74836700000.0,30.61057971014493,-27.882167325428195
AZTEK (TRY),0.3473102197389459,-0.04549074032860969,-0.11446912220508446,0.0,0.0245459558869456,0.08194881126362807,0.05432072838888347,0.6843297475777337,0.10319744901169654,545697402.0,2.28159729,0.23545502
INTEM (TRY),1.0688214695179934,-0.09371545533429519,-0.3326655687702683,0.0,0.0877852492317888,-0.024622274068834916,-0.025000004062805562,0.08221895060084562,-0.028767418090337626,-1055297065.0,-1.93875920781893,0.05577309670781893
TGSAS (TRY),2.0,-0.18238393411347323,0.0,0.0,0.0,0.20419926666245578,0.004300568577823533,0.00925045585881712,-0.05821196042071064,43435685.0,5.954097133333334,-0.34659966666666664
SANKO (TRY),0.054430208339182606,-0.12946854998967594,-0.43573321363162687,0.0,0.040260766736078694,-0.4698064567648347,-0.06622142031341212,0.0,0.010182661670646758,-529868676.0,-1.32992798,-0.013542206666666667
DESPC (TRY),0.11175136597193011,-0.07634097806647284,-0.07785864438885697,0.0,0.004000797607227161,0.018560233479612203,0.005605249209459957,0.013591663346374277,-0.29761301609162644,-122890659.0,0.6608649130434783,-0.196682
DCTTR (TRY),-0.025297426918354585,1.0562137122981965,1.1608743293118853,-0.0,-0.1668684884016251,0.6784192565976157,-0.03245290871450505,0.3478291893667084,8.196384995698713,89567457.0,-0.3312693153846154,-2.715210846153846
KIMMR (TRY),0.45116142310467483,-0.04398462778065468,-0.3460850605468747,0.0,0.029664300093788384,0.08251473536434052,0.055529669840150474,0.5920191116097209,-0.40230004248418466,-897349323.0,1.462446175,-0.5883421583333334
EBEBK (TRY),0.7108943978093452,-0.05073547592632244,-0.3272911196705894,0.0,0.04343535369063423,0.008904558357296624,0.011535977025741335,0.36982949741632104,-7.681215136162151,1471891416.0,0.7249027125,-5.5681336875
TKNSA (TRY),0.25672797405643505,-0.04969143645711497,-0.36819593686802815,0.0,0.07782258087136033,-0.07965101830737428,-0.07811775230406412,0.5367662769890923,0.3049347440718206,-80803000.0,-7.064034825870647,-2.1540696517412936
DOAS (TRY),0.3209828450155271,-0.16327792330735522,-0.09631609961400804,0.0,0.036455839982773505,0.12556462839074314,0.08233729671544823,0.22025428664312582,-0.2770177643980768,44691678000.0,34.51029090909091,-9.559963636363637
