,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
MERIT (TRY),1.8726944146771527,-0.11968631129278665,-0.12564733168723308,0.0,0.0,1.2682829903434285,0.03645732120754134,0.0,-0.06434820678318272,3463281707.0,1.0619982917409387,-0.06833768568033274
ULAS (TRY),0.019801958051164584,-9.406256177508824,0.0,0.0,0.23734039334341905,11.801676248108926,0.025841979393658763,4.642835978602962e-05,0.7349571784891366,52006129.0,0.461007064997385,0.3388204517540361
MARTI (TRY),0.45196904431563206,-0.6304599273971844,-0.06609646904731614,0.0,0.18750416465415964,1.0299042653144694,0.034237208880818326,1.0082594955035447,-0.01624129160084832,-714653503.0,0.873986935,-0.014194676666666666
MAALT (TRY),0.5980344148049478,-1.2868983460245034,0.0,0.0,1.1541441267917225,-5.035532677216628,-0.04082379846389712,0.0,6.806803148580819,-690152819.0,-17.14853659870382,-116.72671291361057
GRSEL (TRY),0.5910528199750621,-0.04944426036258246,-0.0012224884071337068,0.0,0.11271871096099781,0.33518474714652546,0.17618329960201384,0.08289273616675437,-0.6347081390327852,3217388579.0,16.17786089215686,-10.268219980392157
KSTUR (TRY),0.8159825654028494,-0.038803605653821904,-0.008898121585819766,0.0,0.08555362100144016,0.23841601862398407,0.10666857259933825,0.0,-0.1428920214207243,293784320.0,16.897360803300767,-2.4144980418589608
METUR (TRY),0.538528839391422,-0.3923392319760581,0.0,0.0,0.29683704422196006,0.14935742043649053,0.04147181608932594,0.11665792098302998,-0.48635455710315795,0.0,0.15880997222222223,-0.0772379537037037
ZEDUR (TRY),0.3085278601663244,-0.5499566722248598,0.0,0.0,1.1753036268611912,1.7886597013883931,0.03538954795995994,0.1763860784992678,-0.11125919818087417,346508635.0,0.441830226037196,-0.04915767668097282
GZNMI (TRY),0.2868946207202817,-0.11222375082900418,-0.26976121753087,0.0,0.11886094161555341,-0.024305066470976685,-0.006019461365053463,0.6615248587787668,-0.9794283994575507,609746310.0,-0.2742092461538462,0.2685683230769231
MEPET (TRY),0.09985381296422818,-0.1541183290282469,0.0,0.0,0.22850258884830935,-0.6136551347204953,-0.11381593453495842,0.09203396425085339,0.3091945840657388,661860396.0,-3.3706158460517583,-1.0421761645653616
PKENT (TRY),0.43318647052328385,-0.03130040512732022,-0.003696568029816859,0.0,0.0,0.3846667627687054,0.10502455928071994,0.0,-0.7022058854244154,991885374.0,6.493992050861626,-4.560119438014404
TEKTU (TRY),0.9735315739312086,-0.7993333478954345,-0.06214505712384591,0.0,0.45385965601440065,-4.367787639276229,-0.06346239125186003,0.08690042942070214,-0.0006340428801709755,965274501.0,-1.3090807566666667,0.0008300133333333334
TUREX (TRY),0.31372303133931456,-0.18205852732207312,0.0,0.0,0.30781640680798145,0.1301470085141781,0.028540239518688313,0.13584644088359132,-2.66644992298682,1290328000.0,2.007833333333333,-5.353787037037037
AYCES (TRY),0.3837383387869152,-0.7656226111355743,-0.10039645842135689,0.0,0.6499722040561156,-1.1637095496651715,-0.0295784940183394,0.009746596729714481,0.24556221209456755,1550287065.0,-5.55764956,-1.36474872
