,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
RYSAS (TRY),1.0248335024382416,-0.06701971476855889,-0.0018439101542929443,0.0,0.002843711764466308,0.12193480710988994,0.07088370648100918,0.8301195467578271,-3.4648343006221793,-3606706282.0,0.696610431,-2.4136397155
THYAO (TRY),0.38342433226459893,-0.06533923923083382,-0.21091541411257592,0.0,0.25298093878579225,0.39660830744255043,0.08099207919943184,0.7206182792140459,0.08824333742071509,229800000000.0,82.14275362318841,7.248550724637681
TAVHL (TRY),0.7257496224971277,-0.2777908170633534,-0.0034818150369041257,0.0,0.17200424120410207,0.15260820694961189,0.03670819899568676,1.1497320248032852,-0.8993491447909244,14371019000.0,18.05210567026627,-16.235145796229364
GSDDE (TRY),0.7147962050660949,-0.12548211468986922,0.0,0.0,0.30695313692566023,-0.08792296341525467,-0.011262260201585952,0.3590548013986945,7.472727798836772,-1179383000.0,-0.23039333333333334,-1.7216666666666667
PGSUS (TRY),0.4511761082313368,-0.06571360775702215,-0.04295679592671174,0.0,0.23829128106508726,0.2633300906507784,0.046892023653032286,2.219828022809151,0.5041652448225925,26325894195.0,26.570875354,13.396111878
BINBN (TRY),0.4768671759056135,-0.6603849299661381,-0.02217486887424311,0.0,0.42704804739086577,-0.334325693394444,-0.060954273222309334,0.05040140827762559,-1.4833286066459037,-57255976.0,-1.1165072857142857,1.6561471964285714
PASEU (TRY),0.4269188509919599,-0.14125081854118238,-0.025497855891375938,0.0,0.01926562563566314,0.32424330227393533,0.06947831747397105,0.08031896464241003,-0.16949946181019304,261065761.0,0.3069676220238095,-0.052030846726190474
HOROZ (TRY),0.2502528073701551,-0.39714966842911714,0.0,0.0,0.5945453913816783,0.3248869973215578,0.10273829480946851,0.8190872155747343,0.3371321709694389,-153117373.0,7.736982009697542,2.6083855416808253
CLEBI (TRY),0.6258636969945758,-0.14038355524863422,0.0,0.0,0.07885606867263474,0.2971310935301016,0.18206351379208496,0.9070476381007416,-0.5546720456041195,640977573.0,146.76586156378602,-81.40692065843622
TLMAN (TRY),0.5118943653900927,-0.04578342811597958,-0.002392850843438016,0.0,0.31794284519712424,0.387096632832771,0.07554661560915377,0.08859914758398928,-5.242044112899177,888798153.0,5.581878809523809,-29.260454952380954
